,PXindex,daily_change
,Index PX,PX % change
07.09.1993,335.2,0
14.09.1993,329,-1.85
21.09.1993,329.4,0.12
28.09.1993,333.1,1.12
05.10.1993,340,2.07
12.10.1993,372.7,9.62
19.10.1993,414.8,11.3
26.10.1993,451.7,8.9
02.11.1993,524.1,16.03
04.11.1993,611.3,16.64
09.11.1993,661.5,8.21
11.11.1993,662.8,0.2
16.11.1993,665.4,0.39
18.11.1993,638.6,-4.03
23.11.1993,619.5,-2.99
25.11.1993,608.6,-1.76
30.11.1993,617.1,1.4
02.12.1993,643.7,4.31
07.12.1993,648.4,0.73
09.12.1993,657.7,1.43
14.12.1993,678.7,3.19
16.12.1993,705.2,3.9
06.01.1994,756.5,7.27
11.01.1994,810.3,7.11
13.01.1994,856.8,5.74
18.01.1994,918.3,7.18
20.01.1994,979.6,6.68
25.01.1994,1037,5.86
27.01.1994,1109.7,7.01
01.02.1994,1135.8,2.35
03.02.1994,1115.3,-1.81
08.02.1994,1096.6,-1.68
10.02.1994,1090.2,-0.58
15.02.1994,1126.4,3.32
17.02.1994,1156.5,2.67
22.02.1994,1172.9,1.42
24.02.1994,1215.8,3.66
01.03.1994,1244.7,2.38
03.03.1994,1212,-2.63
08.03.1994,1158.2,-4.44
10.03.1994,1194.6,3.14
14.03.1994,1186.9,-0.65
15.03.1994,1159.4,-2.32
17.03.1994,1134.4,-2.16
21.03.1994,1118.4,-1.41
22.03.1994,1036.9,-7.29
24.03.1994,1029.3,-0.73
28.03.1994,1052.7,2.27
29.03.1994,1024.3,-2.7
31.03.1994,1020.6,-0.36
05.04.1994,1000,-2.02
07.04.1994,1002.4,0.24
11.04.1994,999,-0.34
12.04.1994,991.4,-0.76
14.04.1994,975,-1.66
18.04.1994,943.1,-3.27
19.04.1994,918.8,-2.58
21.04.1994,897.7,-2.3
25.04.1994,892.9,-0.54
26.04.1994,864,-3.24
28.04.1994,859.4,-0.53
02.05.1994,855.8,-0.42
03.05.1994,849.9,-0.69
05.05.1994,842.5,-0.87
09.05.1994,842.7,0.02
10.05.1994,829.6,-1.56
12.05.1994,817.2,-1.5
16.05.1994,816.7,-0.06
17.05.1994,800.5,-1.98
19.05.1994,785.7,-1.85
23.05.1994,783.7,-0.26
24.05.1994,770.2,-1.72
26.05.1994,756.9,-1.73
30.05.1994,736.2,-2.74
31.05.1994,707.1,-3.95
02.06.1994,667.8,-5.56
06.06.1994,642.8,-3.74
07.06.1994,639,-0.59
09.06.1994,638.6,-0.06
13.06.1994,657.8,3.01
14.06.1994,673.3,2.36
16.06.1994,688.5,2.26
20.06.1994,718.3,4.33
21.06.1994,747.5,4.07
23.06.1994,750.9,0.45
27.06.1994,744.7,-0.83
28.06.1994,719.1,-3.44
30.06.1994,679.9,-5.45
07.07.1994,692.8,1.9
11.07.1994,711.8,2.74
12.07.1994,704.3,-1.05
14.07.1994,706.6,0.33
18.07.1994,706.9,0.04
19.07.1994,703.7,-0.45
21.07.1994,702.4,-0.19
25.07.1994,697.4,-0.71
26.07.1994,699.8,0.34
28.07.1994,714.3,2.07
01.08.1994,714.7,0.06
02.08.1994,714.1,-0.08
04.08.1994,715.3,0.17
08.08.1994,719.9,0.64
09.08.1994,725.4,0.76
11.08.1994,724.8,-0.08
15.08.1994,727.1,0.32
16.08.1994,727.3,0.03
18.08.1994,728.1,0.11
22.08.1994,730.9,0.38
23.08.1994,722,-1.22
25.08.1994,721.8,-0.03
29.08.1994,717.1,-0.65
30.08.1994,718.7,0.22
01.09.1994,721,0.32
05.09.1994,725.2,0.58
06.09.1994,723.7,-0.21
08.09.1994,729.2,0.76
12.09.1994,731.2,0.27
13.09.1994,732.1,0.12
15.09.1994,724.7,-1.01
19.09.1994,727.7,0.41
20.09.1994,726,-0.23
21.09.1994,722.6,-0.47
22.09.1994,716.9,-0.79
23.09.1994,710.8,-0.85
26.09.1994,709,-0.25
27.09.1994,701.8,-1.02
28.09.1994,703.6,0.26
29.09.1994,702.5,-0.16
30.09.1994,694.3,-1.17
03.10.1994,695.4,0.16
04.10.1994,690.6,-0.69
05.10.1994,685.6,-0.73
06.10.1994,681,-0.67
07.10.1994,680.4,-0.09
10.10.1994,677.7,-0.4
11.10.1994,668,-1.43
12.10.1994,667.4,-0.09
13.10.1994,662.1,-0.8
14.10.1994,661.2,-0.14
17.10.1994,663.9,0.41
18.10.1994,660.8,-0.47
19.10.1994,661.2,0.06
20.10.1994,658.7,-0.38
21.10.1994,655.1,-0.55
24.10.1994,654.7,-0.06
25.10.1994,650.3,-0.67
26.10.1994,641.6,-1.34
27.10.1994,633,-1.34
31.10.1994,627.7,-0.84
01.11.1994,626.3,-0.22
02.11.1994,621.3,-0.8
03.11.1994,612.5,-1.42
04.11.1994,602.7,-1.6
07.11.1994,597.2,-0.91
08.11.1994,587.5,-1.63
09.11.1994,572.4,-2.57
10.11.1994,564.2,-1.43
11.11.1994,554.1,-1.79
14.11.1994,550.6,-0.63
15.11.1994,553.2,0.47
16.11.1994,554.3,0.2
17.11.1994,566.3,2.16
18.11.1994,588.5,3.92
21.11.1994,606.6,3.08
22.11.1994,610.2,0.59
23.11.1994,593.3,-2.77
24.11.1994,574.7,-3.14
25.11.1994,565.7,-1.57
28.11.1994,557.4,-1.47
29.11.1994,557.7,0.05
30.11.1994,557.6,-0.02
01.12.1994,570,2.22
02.12.1994,570.9,0.16
05.12.1994,567.9,-0.53
06.12.1994,564.4,-0.62
07.12.1994,560.3,-0.73
08.12.1994,557.8,-0.45
09.12.1994,550.6,-1.29
12.12.1994,546.1,-0.82
13.12.1994,541.1,-0.92
14.12.1994,541.4,0.06
15.12.1994,549.4,1.48
16.12.1994,557.2,1.42
05.01.1995,570.1,2.32
06.01.1995,579.3,1.61
09.01.1995,586.6,1.26
10.01.1995,584.3,-0.39
11.01.1995,574.5,-1.68
12.01.1995,568.9,-0.98
13.01.1995,562,-1.21
16.01.1995,560.2,-0.32
17.01.1995,557.7,-0.45
18.01.1995,554.5,-0.57
19.01.1995,552.2,-0.42
20.01.1995,547.9,-0.78
23.01.1995,543.5,-0.8
24.01.1995,539.6,-0.72
25.01.1995,535.6,-0.74
26.01.1995,522.7,-2.41
27.01.1995,510.1,-2.41
30.01.1995,504,-1.2
31.01.1995,495.1,-1.77
01.02.1995,485.8,-1.88
02.02.1995,482.5,-0.68
03.02.1995,485.9,0.7
06.02.1995,492.8,1.42
07.02.1995,502.2,1.91
08.02.1995,514.7,2.49
09.02.1995,504.3,-2.02
10.02.1995,498.8,-1.09
13.02.1995,495.5,-0.66
14.02.1995,492.9,-0.53
24.02.1995,487.1,-1.18
27.02.1995,482.1,-1.03
28.02.1995,479,-0.64
01.03.1995,473.1,-1.23
02.03.1995,471.4,-0.36
03.03.1995,466,-1.15
06.03.1995,459,-1.5
07.03.1995,454.9,-0.89
08.03.1995,440.9,-3.08
09.03.1995,432.9,-1.82
10.03.1995,420.3,-2.91
13.03.1995,414.9,-1.29
14.03.1995,413.2,-0.41
15.03.1995,423,2.37
16.03.1995,433.1,2.39
17.03.1995,436.5,0.79
20.03.1995,436.6,0.02
21.03.1995,435.1,-0.34
22.03.1995,430.9,-0.97
23.03.1995,426.8,-0.95
24.03.1995,423,-0.89
27.03.1995,425.5,0.59
28.03.1995,427.2,0.4
29.03.1995,421.9,-1.24
30.03.1995,422.8,0.21
31.03.1995,422.9,0.02
03.04.1995,423.1,0.05
04.04.1995,422,-0.26
05.04.1995,421.1,-0.21
06.04.1995,420.2,-0.21
07.04.1995,420.4,0.05
10.04.1995,421.7,0.31
11.04.1995,423.9,0.52
12.04.1995,422.8,-0.26
13.04.1995,421.6,-0.28
14.04.1995,420.6,-0.24
18.04.1995,420.1,-0.12
19.04.1995,418.9,-0.29
20.04.1995,417.5,-0.34
21.04.1995,416.2,-0.31
24.04.1995,413.8,-0.58
25.04.1995,413.9,0.02
26.04.1995,414,0.02
27.04.1995,414,0
28.04.1995,415.7,0.41
02.05.1995,416.2,0.12
03.05.1995,416.3,0.02
04.05.1995,414.8,-0.36
05.05.1995,414.9,0.02
09.05.1995,411.7,-0.77
10.05.1995,414.8,0.75
11.05.1995,412.2,-0.63
12.05.1995,410.5,-0.41
15.05.1995,410.9,0.1
16.05.1995,412,0.27
17.05.1995,414.2,0.53
18.05.1995,415.7,0.36
19.05.1995,418.4,0.65
22.05.1995,419.7,0.31
23.05.1995,419.2,-0.12
24.05.1995,419.5,0.07
25.05.1995,418.2,-0.31
26.05.1995,415.5,-0.65
29.05.1995,414.3,-0.29
30.05.1995,413.7,-0.15
31.05.1995,413.4,-0.07
01.06.1995,410.9,-0.61
02.06.1995,408.4,-0.61
05.06.1995,408.7,0.07
06.06.1995,405.5,-0.78
07.06.1995,406.9,0.35
08.06.1995,405,-0.47
09.06.1995,405.8,0.2
12.06.1995,407.3,0.37
13.06.1995,403.6,-0.91
14.06.1995,403,-0.15
15.06.1995,403.2,0.05
16.06.1995,403.3,0.02
19.06.1995,403.3,0
20.06.1995,403.3,0
21.06.1995,403.3,0
22.06.1995,401.9,-0.35
23.06.1995,398.3,-0.9
26.06.1995,393.3,-1.26
27.06.1995,392.9,-0.1
28.06.1995,388.7,-1.07
29.06.1995,387.2,-0.39
30.06.1995,389,0.46
03.07.1995,389.6,0.15
04.07.1995,389.3,-0.08
10.07.1995,389.3,0
11.07.1995,394.7,1.39
12.07.1995,395.7,0.25
13.07.1995,397.4,0.43
14.07.1995,398.2,0.2
17.07.1995,399.9,0.43
18.07.1995,401.3,0.35
19.07.1995,399.9,-0.35
20.07.1995,401.1,0.3
21.07.1995,402,0.22
24.07.1995,402.9,0.22
25.07.1995,402.9,0
26.07.1995,402,-0.22
27.07.1995,402.5,0.12
28.07.1995,404.5,0.5
31.07.1995,405.1,0.15
01.08.1995,404.2,-0.22
02.08.1995,403.3,-0.22
03.08.1995,403.6,0.07
04.08.1995,403.7,0.02
07.08.1995,403.5,-0.05
08.08.1995,403.9,0.1
09.08.1995,403.4,-0.12
10.08.1995,404.6,0.3
11.08.1995,405.4,0.2
14.08.1995,406.1,0.17
15.08.1995,407.8,0.42
16.08.1995,408.9,0.27
17.08.1995,409.9,0.24
18.08.1995,411.7,0.44
21.08.1995,412.2,0.12
22.08.1995,415.5,0.8
23.08.1995,417.9,0.58
24.08.1995,421,0.74
25.08.1995,426.1,1.21
28.08.1995,428,0.45
29.08.1995,427.1,-0.21
30.08.1995,425.8,-0.31
31.08.1995,426.2,0.09
01.09.1995,428.4,0.52
04.09.1995,429.8,0.33
05.09.1995,430.4,0.14
06.09.1995,432.2,0.42
07.09.1995,432.3,0.02
08.09.1995,436.2,0.9
11.09.1995,437.2,0.23
12.09.1995,437.6,0.09
13.09.1995,439.4,0.41
14.09.1995,443,0.82
15.09.1995,445.2,0.5
18.09.1995,445.3,0.02
19.09.1995,446.5,0.27
20.09.1995,447.1,0.13
21.09.1995,450.6,0.78
22.09.1995,453,0.53
25.09.1995,453.4,0.09
26.09.1995,450.4,-0.66
27.09.1995,451,0.13
28.09.1995,452.4,0.31
29.09.1995,453.8,0.31
02.10.1995,450.6,-0.71
03.10.1995,451.4,0.18
04.10.1995,450.8,-0.13
05.10.1995,448.4,-0.53
06.10.1995,447.9,-0.11
09.10.1995,445.5,-0.54
10.10.1995,442.9,-0.58
11.10.1995,441.9,-0.23
12.10.1995,442,0.02
13.10.1995,442.3,0.07
16.10.1995,443.1,0.18
17.10.1995,441.7,-0.32
18.10.1995,438.9,-0.63
19.10.1995,436.9,-0.46
20.10.1995,436.6,-0.07
23.10.1995,436.8,0.05
24.10.1995,439,0.5
25.10.1995,439.4,0.09
26.10.1995,440.4,0.23
27.10.1995,442.2,0.41
30.10.1995,441.1,-0.25
31.10.1995,442.8,0.39
01.11.1995,439.9,-0.66
02.11.1995,438.5,-0.32
03.11.1995,441.3,0.64
06.11.1995,435.2,-1.38
07.11.1995,434.1,-0.25
08.11.1995,435.8,0.39
09.11.1995,435.2,-0.14
10.11.1995,434.1,-0.25
13.11.1995,433.2,-0.21
14.11.1995,427.8,-1.25
15.11.1995,428,0.05
16.11.1995,419.4,-2.01
17.11.1995,416.9,-0.6
20.11.1995,413.6,-0.79
21.11.1995,411.7,-0.46
22.11.1995,408.7,-0.73
23.11.1995,405.6,-0.76
24.11.1995,405.6,0
27.11.1995,408.2,0.64
28.11.1995,410.1,0.47
29.11.1995,412.8,0.66
30.11.1995,417.7,1.19
01.12.1995,419.9,0.53
04.12.1995,421.5,0.38
05.12.1995,423.5,0.47
06.12.1995,424.1,0.14
07.12.1995,425.4,0.31
08.12.1995,424.7,-0.17
11.12.1995,423.8,-0.21
12.12.1995,423,-0.19
13.12.1995,422.7,-0.07
14.12.1995,418.7,-0.95
15.12.1995,425.9,1.72
08.01.1996,437.9,2.82
09.01.1996,450.3,2.83
10.01.1996,449.5,-0.18
11.01.1996,449.6,0.02
12.01.1996,449,-0.13
15.01.1996,449.3,0.07
16.01.1996,449.5,0.04
17.01.1996,448.3,-0.27
18.01.1996,441.9,-1.43
19.01.1996,445.8,0.88
22.01.1996,444.1,-0.38
23.01.1996,442.8,-0.29
24.01.1996,440.1,-0.61
25.01.1996,440,-0.02
26.01.1996,441.6,0.36
29.01.1996,442.5,0.2
30.01.1996,444.8,0.52
31.01.1996,444.4,-0.09
01.02.1996,450,1.26
02.02.1996,454.2,0.93
05.02.1996,458.6,0.97
06.02.1996,462.1,0.76
07.02.1996,459.8,-0.5
08.02.1996,461.2,0.3
09.02.1996,463,0.39
12.02.1996,462.4,-0.13
13.02.1996,462.2,-0.04
14.02.1996,462.4,0.04
15.02.1996,461.8,-0.13
16.02.1996,461.6,-0.04
19.02.1996,462.8,0.26
20.02.1996,463.2,0.09
21.02.1996,465.5,0.5
22.02.1996,462.8,-0.58
23.02.1996,462,-0.17
26.02.1996,463.6,0.35
27.02.1996,466,0.52
28.02.1996,468.9,0.62
29.02.1996,471.2,0.49
01.03.1996,473.8,0.55
04.03.1996,474.6,0.17
05.03.1996,475.6,0.21
06.03.1996,480.2,0.97
07.03.1996,481.7,0.31
08.03.1996,481.8,0.02
11.03.1996,482.8,0.21
12.03.1996,482.7,-0.02
13.03.1996,483.7,0.21
14.03.1996,483.2,-0.1
15.03.1996,484.5,0.27
18.03.1996,485.9,0.29
19.03.1996,490.9,1.03
20.03.1996,491.8,0.18
21.03.1996,492.3,0.1
22.03.1996,495,0.55
25.03.1996,497.8,0.57
26.03.1996,497.7,-0.02
27.03.1996,498.5,0.16
28.03.1996,498.2,-0.06
29.03.1996,498.7,0.1
01.04.1996,500.8,0.42
02.04.1996,503.6,0.56
03.04.1996,507.6,0.79
04.04.1996,511.8,0.83
05.04.1996,507.3,-0.88
09.04.1996,505.2,-0.41
10.04.1996,500.2,-0.99
11.04.1996,501.1,0.18
12.04.1996,502.4,0.26
15.04.1996,509.4,1.39
16.04.1996,512.1,0.53
17.04.1996,515.5,0.66
18.04.1996,518.5,0.58
19.04.1996,518.6,0.02
22.04.1996,521.6,0.58
23.04.1996,523.2,0.31
24.04.1996,525,0.34
25.04.1996,524.4,-0.12
26.04.1996,526.7,0.44
29.04.1996,529.4,0.51
30.04.1996,532.4,0.57
02.05.1996,536.6,0.79
03.05.1996,543.2,1.23
06.05.1996,543.2,0
07.05.1996,549.9,1.23
09.05.1996,558,1.47
10.05.1996,557.3,-0.13
13.05.1996,551.7,-1.01
14.05.1996,549.4,-0.42
15.05.1996,549.7,0.05
16.05.1996,550.9,0.22
17.05.1996,553.1,0.4
20.05.1996,551.9,-0.22
21.05.1996,551.4,-0.09
22.05.1996,551.9,0.09
23.05.1996,552.9,0.18
24.05.1996,552.6,-0.06
27.05.1996,550.8,-0.33
28.05.1996,551.7,0.16
29.05.1996,551,-0.13
30.05.1996,550.6,-0.07
31.05.1996,553.5,0.53
03.06.1996,530.6,-4.14
04.06.1996,531.4,0.15
05.06.1996,540.4,1.69
06.06.1996,544.3,0.72
07.06.1996,545.8,0.28
10.06.1996,547.5,0.31
11.06.1996,546.4,-0.2
12.06.1996,547.5,0.2
13.06.1996,552.7,0.95
14.06.1996,551.9,-0.15
17.06.1996,558.4,1.18
18.06.1996,556.6,-0.32
19.06.1996,557.8,0.22
20.06.1996,557.1,-0.13
21.06.1996,552.3,-0.86
24.06.1996,553.3,0.18
25.06.1996,549.4,-0.71
26.06.1996,547.6,-0.33
27.06.1996,544.1,-0.64
28.06.1996,545.2,0.2
01.07.1996,544.4,-0.15
02.07.1996,544.7,0.06
03.07.1996,544.3,-0.07
04.07.1996,546,0.31
08.07.1996,545,-0.18
09.07.1996,543.3,-0.31
10.07.1996,544.7,0.26
11.07.1996,545.6,0.17
12.07.1996,543.7,-0.35
15.07.1996,543.3,-0.07
16.07.1996,542.9,-0.07
17.07.1996,540.5,-0.44
18.07.1996,541.6,0.2
19.07.1996,541.9,0.06
22.07.1996,541.5,-0.07
23.07.1996,541.2,-0.06
24.07.1996,540.5,-0.13
25.07.1996,542.6,0.39
26.07.1996,544.2,0.29
29.07.1996,545.8,0.29
30.07.1996,550.2,0.81
31.07.1996,551.1,0.16
01.08.1996,553.6,0.45
02.08.1996,558,0.79
05.08.1996,562.5,0.81
06.08.1996,566.7,0.75
07.08.1996,567.8,0.19
08.08.1996,566.2,-0.28
09.08.1996,565.9,-0.05
12.08.1996,565.6,-0.05
13.08.1996,565.1,-0.09
14.08.1996,565.7,0.11
15.08.1996,565.3,-0.07
16.08.1996,565,-0.05
19.08.1996,569.9,0.87
20.08.1996,564.9,-0.88
21.08.1996,567.5,0.46
22.08.1996,568.6,0.19
23.08.1996,569.8,0.21
26.08.1996,570,0.04
27.08.1996,571.6,0.28
28.08.1996,571.6,0
29.08.1996,574.9,0.58
30.08.1996,577.4,0.43
02.09.1996,579.2,0.31
03.09.1996,580.2,0.17
04.09.1996,580.8,0.1
05.09.1996,582,0.21
06.09.1996,578.9,-0.53
09.09.1996,579.2,0.05
10.09.1996,578,-0.21
11.09.1996,576.6,-0.24
12.09.1996,575.1,-0.26
13.09.1996,573.8,-0.23
16.09.1996,575.4,0.28
17.09.1996,572.8,-0.45
18.09.1996,571.9,-0.16
