Year;Month;Day;Hour;Week;total;coal;oil;gas;peat;biomass;other;
2006;1;;;;8311;5347;70;182;1520;195;998;
2006;2;;;;9418;6640;73;212;1369;182;943;
2006;3;;;;12165;7868;110;248;2523;219;1196;
2006;4;;;;8227;4713;91;178;1935;202;1108;
2006;5;;;;10076;6481;110;135;2124;227;998;
2006;6;;;;12035;9374;131;194;1356;188;791;
2006;7;;;;15175;10944;187;757;2133;187;966;
2006;8;;;;22125;13196;201;3699;3458;246;1325;
2006;9;;;;23931;14164;188;4997;2943;262;1376;
2006;10;;;;19487;11366;132;3515;2850;250;1373;
2006;11;;;;16190;9910;169;1638;2950;238;1285;
2006;12;;;;9259;5013;150;132;2636;226;1102;
2007;1;;;;10285;6649;124;117;2358;223;814;
2007;2;;;;12359;9014;148;136;2077;207;777;
2007;3;;;;10712;6569;122;100;2850;212;858;
2007;4;;;;8170;4329;83;63;2706;190;799;
2007;5;;;;7596;3665;80;173;2799;211;668;
2007;6;;;;9520;6576;99;316;1769;173;587;
2007;7;;;;4347;1608;43;325;1559;165;648;
2007;8;;;;10464;6011;113;561;2699;189;890;
2007;9;;;;14913;9422;188;1086;3082;235;899;
2007;10;;;;16263;10836;171;815;3271;210;959;
2007;11;;;;15869;11210;173;561;2737;217;970;
2007;12;;;;15275;10329;158;425;3119;237;1007;
2008;1;;;;7138;2471;136;167;2512;252;1600;
2008;2;;;;4765;1072;86;144;1783;344;1335;
2008;3;;;;3299;874;62;147;797;339;1081;
2008;4;;;;4154;1143;74;164;1197;320;1256;
2008;5;;;;4311;1400;71;315;1342;275;909;
2008;6;;;;5899;3303;97;318;1374;207;600;
2008;7;;;;5442;1745;89;698;1442;249;1219;
2008;8;;;;9606;4617;156;648;2465;201;1519;
2008;9;;;;12533;8229;205;293;2106;233;1467;
2008;10;;;;10422;7369;173;186;1129;214;1352;
2008;11;;;;9587;6682;169;186;1034;141;1374;
2008;12;;;;8121;5843;137;77;853;128;1084;
