NUTS3,CODE,Cluster
AT112,2413,51AT
AT112,2421,51AT
AT112,2422,51AT
AT112,2423,51AT
AT112,2424,51AT
AT112,2425,51AT
AT112,2443,51AT
AT112,2462,51AT
AT112,2473,51AT
AT112,2474,51AT
AT112,2475,51AT
AT112,2485,51AT
AT112,2491,51AT
AT121,3122,51AT
AT121,3214,51AT
AT121,3221,51AT
AT121,3232,51AT
AT121,3233,51AT
AT121,3240,51AT
AT121,3241,51AT
AT121,3242,51AT
AT121,3243,51AT
AT121,3244,51AT
AT121,3250,51AT
AT121,3251,51AT
AT121,3252,51AT
AT121,3253,51AT
AT121,3254,51AT
AT121,3261,51AT
AT121,3262,51AT
AT121,3263,51AT
AT121,3264,51AT
AT121,3270,51AT
AT121,3281,51AT
AT121,3282,51AT
AT121,3283,51AT
AT121,3291,51AT
AT121,3292,51AT
AT121,3293,51AT
AT121,3294,51AT
AT121,3295,51AT
AT121,3300,51AT
AT121,3304,51AT
AT121,3311,51AT
AT121,3312,51AT
AT121,3313,51AT
AT121,3314,51AT
AT121,3321,51AT
AT121,3322,51AT
AT121,3323,51AT
AT121,3324,51AT
AT121,3325,51AT
AT121,3331,51AT
AT121,3332,51AT
AT121,3333,51AT
AT121,3340,51AT
AT121,3341,51AT
AT121,3342,51AT
AT121,3343,51AT
AT121,3344,51AT
AT121,3345,51AT
AT121,3350,51AT
AT121,3351,51AT
AT121,3352,51AT
AT121,3353,51AT
AT121,3354,51AT
AT121,3355,51AT
AT121,3361,51AT
AT121,3362,51AT
AT121,3363,51AT
AT121,3364,51AT
AT121,3365,51AT
AT121,3370,51AT
AT121,3371,51AT
AT121,3372,51AT
AT121,3373,51AT
AT121,3374,51AT
AT121,3375,51AT
AT121,3376,51AT
AT121,3380,51AT
AT121,3381,51AT
AT121,3382,51AT
AT121,3383,51AT
AT121,3390,51AT
AT121,3392,51AT
AT121,3393,51AT
AT121,3642,51AT
AT121,3644,51AT
AT121,3650,51AT
AT121,3652,51AT
AT121,3653,51AT
AT121,3654,51AT
AT121,3660,51AT
AT121,3661,51AT
AT121,3662,51AT
AT121,3663,51AT
AT121,3671,51AT
AT121,3672,51AT
AT121,3680,51AT
AT121,3681,51AT
AT121,3683,51AT
AT121,3684,51AT
AT121,3691,51AT
AT121,4300,51AT
AT121,4303,51AT
AT121,4392,51AT
AT121,4431,51AT
AT121,4432,51AT
AT121,4441,51AT
AT121,4482,51AT
AT123,3032,51AT
AT123,3033,51AT
AT123,3034,51AT
AT123,3040,51AT
AT123,3041,51AT
AT123,3051,51AT
AT123,3052,51AT
AT123,3053,51AT
AT123,3061,51AT
AT123,3062,51AT
AT123,3071,51AT
AT123,3072,51AT
AT123,3073,51AT
AT123,3074,51AT
AT123,3100,51AT
AT123,3104,51AT
AT123,3105,51AT
AT123,3107,51AT
AT123,3109,51AT
AT123,3110,51AT
AT123,3121,51AT
AT123,3123,51AT
AT123,3124,51AT
AT123,3125,51AT
AT123,3130,51AT
AT123,3131,51AT
AT123,3133,51AT
AT123,3134,51AT
AT123,3140,51AT
AT123,3141,51AT
AT123,3142,51AT
AT123,3143,51AT
AT123,3144,51AT
AT123,3150,51AT
AT123,3151,51AT
AT123,3200,51AT
AT123,3202,51AT
AT123,3203,51AT
AT123,3204,51AT
AT123,3205,51AT
AT123,3211,51AT
AT123,3212,51AT
AT123,3213,51AT
AT123,3231,51AT
AT123,3384,51AT
AT123,3385,51AT
AT123,3386,51AT
AT124,2084,51AT
AT124,2091,51AT
AT124,2093,51AT
AT124,2094,51AT
AT124,2095,51AT
AT124,3485,51AT
AT124,3491,51AT
AT124,3492,51AT
AT124,3493,51AT
AT124,3494,51AT
AT124,3495,51AT
AT124,3500,51AT
AT124,3506,51AT
AT124,3508,51AT
AT124,3511,51AT
AT124,3512,51AT
AT124,3521,51AT
AT124,3522,51AT
AT124,3524,51AT
AT124,3525,51AT
AT124,3531,51AT
AT124,3532,51AT
AT124,3533,51AT
AT124,3541,51AT
AT124,3542,51AT
AT124,3543,51AT
AT124,3544,51AT
AT124,3550,51AT
AT124,3552,51AT
AT124,3553,51AT
AT124,3561,51AT
AT124,3562,51AT
AT124,3564,51AT
AT124,3571,51AT
AT124,3572,51AT
AT124,3573,51AT
AT124,3580,51AT
AT124,3591,51AT
AT124,3592,51AT
AT124,3593,51AT
AT124,3594,51AT
AT124,3595,51AT
AT124,3601,51AT
AT124,3602,51AT
AT124,3610,51AT
AT124,3611,51AT
AT124,3613,51AT
AT124,3620,51AT
AT124,3621,51AT
AT124,3622,51AT
AT124,3623,51AT
AT124,3631,51AT
AT124,3632,51AT
AT124,3633,51AT
AT124,3641,51AT
AT124,3643,51AT
AT124,3664,51AT
AT124,3665,51AT
AT124,3713,51AT
AT124,3722,51AT
AT124,3730,51AT
AT124,3742,51AT
AT124,3743,51AT
AT124,3744,51AT
AT124,3751,51AT
AT124,3752,51AT
AT124,3753,51AT
AT124,3754,51AT
AT124,3761,51AT
AT124,3762,51AT
AT124,3763,51AT
AT124,3800,51AT
AT124,3804,51AT
AT124,3811,51AT
AT124,3812,51AT
AT124,3813,51AT
AT124,3814,51AT
AT124,3820,51AT
AT124,3822,51AT
AT124,3823,51AT
AT124,3824,51AT
AT124,3830,51AT
AT124,3834,51AT
AT124,3841,51AT
AT124,3842,51AT
AT124,3843,51AT
AT124,3844,51AT
AT124,3851,51AT
AT124,3852,51AT
AT124,3860,51AT
AT124,3861,51AT
AT124,3862,51AT
AT124,3863,51AT
AT124,3871,51AT
AT124,3872,51AT
AT124,3873,51AT
AT124,3874,51AT
AT124,3900,51AT
AT124,3902,51AT
AT124,3903,51AT
AT124,3910,51AT
AT124,3911,51AT
AT124,3912,51AT
AT124,3913,51AT
AT124,3914,51AT
AT124,3920,51AT
AT124,3921,51AT
AT124,3922,51AT
AT124,3923,51AT
AT124,3924,51AT
AT124,3925,51AT
AT124,3931,51AT
AT124,3932,51AT
AT124,3942,51AT
AT124,3943,51AT
AT124,3944,51AT
AT124,3945,51AT
AT124,3950,51AT
AT124,3961,51AT
AT124,3962,51AT
AT124,3970,51AT
AT124,3971,51AT
AT124,3972,51AT
AT124,3973,51AT
AT125,2013,51AT
AT125,2014,51AT
AT125,2020,51AT
AT125,2022,51AT
AT125,2023,51AT
AT125,2024,51AT
AT125,2031,51AT
AT125,2032,51AT
AT125,2033,51AT
AT125,2034,51AT
AT125,2041,51AT
AT125,2042,51AT
AT125,2051,51AT
AT125,2052,51AT
AT125,2053,51AT
AT125,2054,51AT
AT125,2061,51AT
AT125,2062,51AT
AT125,2063,51AT
AT125,2064,51AT
AT125,2070,51AT
AT125,2073,51AT
AT125,2074,51AT
AT125,2081,51AT
AT125,2082,51AT
AT125,2083,51AT
AT125,2092,51AT
AT125,2116,51AT
AT125,2126,51AT
AT125,2130,51AT
AT125,2132,51AT
AT125,2133,51AT
AT125,2134,51AT
AT125,2135,51AT
AT125,2136,51AT
AT125,2141,51AT
AT125,2143,51AT
AT125,2144,51AT
AT125,2145,51AT
AT125,2151,51AT
AT125,2152,51AT
AT125,2153,51AT
AT125,2154,51AT
AT125,2161,51AT
AT125,2162,51AT
AT125,2163,51AT
AT125,2164,51AT
AT125,2165,51AT
AT125,2170,51AT
AT125,2171,51AT
AT125,2172,51AT
AT125,2181,51AT
AT125,2182,51AT
AT125,2183,51AT
AT125,2184,51AT
AT125,2185,51AT
AT125,2191,51AT
AT125,2192,51AT
AT125,2193,51AT
AT125,2224,51AT
AT125,2225,51AT
AT125,2263,51AT
AT125,2264,51AT
AT125,2265,51AT
AT125,2272,51AT
AT125,2273,51AT
AT125,2274,51AT
AT125,2275,51AT
AT125,2276,51AT
AT125,3472,51AT
AT125,3473,51AT
AT125,3704,51AT
AT125,3710,51AT
AT125,3711,51AT
AT125,3712,51AT
AT125,3714,51AT
AT125,3720,51AT
AT125,3721,51AT
AT125,3741,51AT
AT126,2000,51AT
AT126,2002,51AT
AT126,2003,51AT
AT126,2004,51AT
AT126,2011,51AT
AT126,2100,51AT
AT126,2102,51AT
AT126,2103,51AT
AT126,2104,51AT
AT126,2105,51AT
AT126,2111,51AT
AT126,2112,51AT
AT126,2113,51AT
AT126,2114,51AT
AT126,2115,51AT
AT126,2120,51AT
AT126,2122,51AT
AT126,2123,51AT
AT126,2124,51AT
AT126,2125,51AT
AT126,2201,51AT
AT126,2202,51AT
AT126,2203,51AT
AT126,2211,51AT
AT126,2212,51AT
AT126,2213,51AT
AT126,2214,51AT
AT126,2215,51AT
AT126,2221,51AT
AT126,2222,51AT
AT126,2223,51AT
AT126,2230,51AT
AT126,2231,51AT
AT126,2232,51AT
AT126,2241,51AT
AT126,2242,51AT
AT126,2243,51AT
AT126,2244,51AT
AT126,2245,51AT
AT126,2251,51AT
AT126,2252,51AT
AT126,2253,51AT
AT126,2261,51AT
AT126,2262,51AT
AT126,2281,51AT
AT126,2282,51AT
AT126,2283,51AT
AT126,2284,51AT
AT126,2285,51AT
AT126,2286,51AT
AT126,2291,51AT
AT126,2292,51AT
AT126,2293,51AT
AT126,2294,51AT
AT126,2295,51AT
AT126,2301,51AT
AT126,2304,51AT
AT126,2305,51AT
AT126,3001,51AT
AT126,3002,51AT
AT126,3003,51AT
AT126,3004,51AT
AT126,3011,51AT
AT126,3012,51AT
AT126,3013,51AT
AT126,3021,51AT
AT126,3031,51AT
AT126,3042,51AT
AT126,3400,51AT
AT126,3413,51AT
AT126,3420,51AT
AT126,3421,51AT
AT126,3422,51AT
AT126,3423,51AT
AT126,3424,51AT
AT126,3425,51AT
AT126,3426,51AT
AT126,3430,51AT
AT126,3433,51AT
AT126,3434,51AT
AT126,3435,51AT
AT126,3441,51AT
AT126,3442,51AT
AT126,3443,51AT
AT126,3451,51AT
AT126,3452,51AT
AT126,3454,51AT
AT126,3462,51AT
AT126,3463,51AT
AT126,3464,51AT
AT126,3465,51AT
AT126,3470,51AT
AT126,3471,51AT
AT126,3474,51AT
AT126,3481,51AT
AT126,3482,51AT
AT126,3483,51AT
AT126,3484,51AT
AT126,3701,51AT
AT126,3702,51AT
AT127,1300,51AT
AT127,2320,51AT
AT127,2322,51AT
AT127,2325,51AT
AT127,2326,51AT
AT127,2331,51AT
AT127,2332,51AT
AT127,2333,51AT
AT127,2334,51AT
AT127,2340,51AT
AT127,2344,51AT
AT127,2345,51AT
AT127,2351,51AT
AT127,2352,51AT
AT127,2353,51AT
AT127,2361,51AT
AT127,2362,51AT
AT127,2371,51AT
AT127,2372,51AT
AT127,2380,51AT
AT127,2381,51AT
AT127,2384,51AT
AT127,2391,51AT
AT127,2392,51AT
AT127,2393,51AT
AT127,2401,51AT
AT127,2402,51AT
AT127,2403,51AT
AT127,2404,51AT
AT127,2405,51AT
AT127,2410,51AT
AT127,2412,51AT
AT127,2431,51AT
AT127,2432,51AT
AT127,2433,51AT
AT127,2434,51AT
AT127,2435,51AT
AT127,2440,51AT
AT127,2441,51AT
AT127,2442,51AT
AT127,2444,51AT
AT127,2451,51AT
AT127,2452,51AT
AT127,2453,51AT
AT127,2454,51AT
AT127,2460,51AT
AT127,2463,51AT
AT127,2464,51AT
AT127,2465,51AT
AT127,2471,51AT
AT127,2472,51AT
AT127,2481,51AT
AT127,2482,51AT
AT127,2483,51AT
AT127,2486,51AT
AT127,2500,51AT
AT127,2504,51AT
AT127,2511,51AT
AT127,2512,51AT
AT127,2514,51AT
AT127,2521,51AT
AT127,2522,51AT
AT127,2523,51AT
AT127,2524,51AT
AT127,2525,51AT
AT127,2531,51AT
AT127,2532,51AT
AT127,2533,51AT
AT127,2534,51AT
AT127,2540,51AT
AT127,2542,51AT
AT127,2544,51AT
AT127,2602,51AT
AT223,2654,50AT
AT311,4084,50AT
AT311,4085,50AT
AT311,4090,50AT
AT311,4091,50AT
AT311,4092,50AT
AT311,4633,50AT
AT311,4673,50AT
AT311,4674,50AT
AT311,4675,50AT
AT311,4676,50AT
AT311,4680,50AT
AT311,4681,50AT
AT311,4682,50AT
AT311,4701,50AT
AT311,4702,50AT
AT311,4707,50AT
AT311,4710,50AT
AT311,4712,50AT
AT311,4713,50AT
AT311,4714,50AT
AT311,4715,50AT
AT311,4716,50AT
AT311,4720,50AT
AT311,4721,50AT
AT311,4722,50AT
AT311,4723,50AT
AT311,4724,50AT
AT311,4725,50AT
AT311,4730,50AT
AT311,4732,50AT
AT311,4733,50AT
AT311,4741,50AT
AT311,4742,50AT
AT311,4743,50AT
AT311,4751,50AT
AT311,4752,50AT
AT311,4753,50AT
AT311,4754,50AT
AT311,4755,50AT
AT311,4760,50AT
AT311,4761,50AT
AT311,4762,50AT
AT311,4770,50AT
AT311,4771,50AT
AT311,4772,50AT
AT311,4773,50AT
AT311,4774,50AT
AT311,4775,50AT
AT311,4776,50AT
AT311,4777,50AT
AT311,4780,50AT
AT311,4782,50AT
AT311,4783,50AT
AT311,4784,50AT
AT311,4785,50AT
AT311,4786,50AT
AT311,4791,50AT
AT311,4792,50AT
AT311,4793,50AT
AT311,4794,50AT
AT311,4906,50AT
AT311,4910,50AT
AT311,4911,50AT
AT311,4912,50AT
AT311,4920,50AT
AT311,4921,50AT
AT311,4922,50AT
AT311,4923,50AT
AT311,4924,50AT
AT311,4925,50AT
AT311,4926,50AT
AT311,4931,50AT
AT311,4932,50AT
AT311,4933,50AT
AT311,4941,50AT
AT311,4942,50AT
AT311,4943,50AT
AT311,4950,50AT
AT311,4951,50AT
AT311,4952,50AT
AT311,4961,50AT
AT311,4962,50AT
AT311,4963,50AT
AT311,4970,50AT
AT311,4971,50AT
AT311,4972,50AT
AT311,4973,50AT
AT311,4974,50AT
AT311,4975,50AT
AT311,4980,50AT
AT311,4981,50AT
AT311,4982,50AT
AT311,4983,50AT
AT311,4984,50AT
AT311,5120,50AT
AT311,5121,50AT
AT311,5122,50AT
AT311,5131,50AT
AT311,5132,50AT
AT311,5133,50AT
AT311,5134,50AT
AT311,5141,50AT
AT311,5142,50AT
AT311,5143,50AT
AT311,5144,50AT
AT311,5145,50AT
AT311,5166,50AT
AT311,5211,50AT
AT311,5212,50AT
AT311,5221,50AT
AT311,5222,50AT
AT311,5223,50AT
AT311,5224,50AT
AT311,5225,50AT
AT311,5230,50AT
AT311,5231,50AT
AT311,5232,50AT
AT311,5233,50AT
AT311,5241,50AT
AT311,5242,50AT
AT311,5251,50AT
AT311,5252,50AT
AT311,5261,50AT
AT311,5270,50AT
AT311,5271,50AT
AT311,5272,50AT
AT311,5273,50AT
AT311,5274,50AT
AT311,5280,50AT
AT311,5282,50AT
AT312,4020,50AT
AT312,4030,50AT
AT312,4040,50AT
AT312,4048,50AT
AT312,4050,50AT
AT312,4052,50AT
AT312,4053,50AT
AT312,4055,50AT
AT312,4060,50AT
AT312,4061,50AT
AT312,4062,50AT
AT312,4063,50AT
AT312,4064,50AT
AT312,4070,50AT
AT312,4072,50AT
AT312,4073,50AT
AT312,4074,50AT
AT312,4075,50AT
AT312,4076,50AT
AT312,4081,50AT
AT312,4082,50AT
AT312,4083,50AT
AT312,4100,50AT
AT312,4101,50AT
AT312,4102,50AT
AT312,4111,50AT
AT312,4112,50AT
AT312,4175,50AT
AT312,4201,50AT
AT312,4202,50AT
AT312,4203,50AT
AT312,4209,50AT
AT312,4210,50AT
AT312,4211,50AT
AT312,4221,50AT
AT312,4470,50AT
AT312,4481,50AT
AT312,4483,50AT
AT312,4484,50AT
AT312,4490,50AT
AT312,4491,50AT
AT312,4492,50AT
AT312,4501,50AT
AT312,4502,50AT
AT312,4511,50AT
AT312,4531,50AT
AT312,4533,50AT
AT312,4600,50AT
AT312,4611,50AT
AT312,4612,50AT
AT312,4613,50AT
AT312,4614,50AT
AT312,4615,50AT
AT312,4616,50AT
AT312,4621,50AT
AT312,4622,50AT
AT312,4623,50AT
AT312,4624,50AT
AT312,4625,50AT
AT312,4631,50AT
AT312,4632,50AT
AT312,4641,50AT
AT312,4642,50AT
AT312,4650,50AT
AT312,4651,50AT
AT312,4652,50AT
AT312,4653,50AT
AT312,4654,50AT
AT312,4671,50AT
AT312,4672,50AT
AT312,4731,50AT
AT313,4113,50AT
AT313,4114,50AT
AT313,4115,50AT
AT313,4116,50AT
AT313,4120,50AT
AT313,4121,50AT
AT313,4122,50AT
AT313,4131,50AT
AT313,4132,50AT
AT313,4133,50AT
AT313,4134,50AT
AT313,4141,50AT
AT313,4142,50AT
AT313,4143,50AT
AT313,4144,50AT
AT313,4150,50AT
AT313,4151,50AT
AT313,4152,50AT
AT313,4153,50AT
AT313,4154,50AT
AT313,4155,50AT
AT313,4160,50AT
AT313,4161,50AT
AT313,4162,50AT
AT313,4163,50AT
AT313,4164,50AT
AT313,4170,50AT
AT313,4171,50AT
AT313,4172,50AT
AT313,4173,50AT
AT313,4174,50AT
AT313,4180,50AT
AT313,4181,50AT
AT313,4182,50AT
AT313,4183,50AT
AT313,4184,50AT
AT313,4190,50AT
AT313,4191,50AT
AT313,4192,50AT
AT313,4193,50AT
AT313,4204,50AT
AT313,4212,50AT
AT313,4222,50AT
AT313,4223,50AT
AT313,4224,50AT
AT313,4225,50AT
AT313,4230,50AT
AT313,4232,50AT
AT313,4240,50AT
AT313,4242,50AT
AT313,4251,50AT
AT313,4252,50AT
AT313,4261,50AT
AT313,4262,50AT
AT313,4263,50AT
AT313,4264,50AT
AT313,4271,50AT
AT313,4272,50AT
AT313,4273,50AT
AT313,4274,50AT
AT313,4280,50AT
AT313,4281,50AT
AT313,4282,50AT
AT313,4283,50AT
AT313,4284,50AT
AT313,4291,50AT
AT313,4292,50AT
AT313,4293,50AT
AT313,4294,50AT
AT313,4310,50AT
AT313,4311,50AT
AT313,4312,50AT
AT313,4320,50AT
AT313,4322,50AT
AT313,4323,50AT
AT313,4324,50AT
AT313,4331,50AT
AT313,4332,50AT
AT313,4341,50AT
AT313,4342,50AT
AT313,4343,50AT
AT313,4351,50AT
AT313,4352,50AT
AT313,4360,50AT
AT313,4362,50AT
AT313,4363,50AT
AT313,4364,50AT
AT313,4371,50AT
AT313,4372,50AT
AT313,4381,50AT
AT313,4382,50AT
AT313,4391,50AT
AT315,4644,50AT
AT315,4645,50AT
AT315,4655,50AT
AT315,4656,50AT
AT315,4661,50AT
AT315,4662,50AT
AT315,4663,50AT
AT315,4664,50AT
AT315,4690,50AT
AT315,4691,50AT
AT315,4692,50AT
AT315,4693,50AT
AT315,4694,50AT
AT315,4800,50AT
AT315,4801,50AT
AT315,4802,50AT
AT315,4810,50AT
AT315,4812,50AT
AT315,4813,50AT
AT315,4814,50AT
AT315,4816,50AT
AT315,4817,50AT
AT315,4820,50AT
AT315,4821,50AT
AT315,4822,50AT
AT315,4823,50AT
AT315,4824,50AT
AT315,4825,50AT
AT315,4830,50AT
AT315,4831,50AT
AT315,4840,50AT
AT315,4841,50AT
AT315,4842,50AT
AT315,4843,50AT
AT315,4844,50AT
AT315,4845,50AT
AT315,4846,50AT
AT315,4849,50AT
AT315,4850,50AT
AT315,4851,50AT
AT315,4852,50AT
AT315,4853,50AT
AT315,4860,50AT
AT315,4861,50AT
AT315,4863,50AT
AT315,4864,50AT
AT315,4865,50AT
AT315,4866,50AT
AT315,4870,50AT
AT315,4871,50AT
AT315,4872,50AT
AT315,4873,50AT
AT315,4880,50AT
AT315,4881,50AT
AT315,4882,50AT
AT315,4890,50AT
AT315,4891,50AT
AT315,4892,50AT
AT315,4893,50AT
AT315,4894,50AT
AT315,4901,50AT
AT315,4902,50AT
AT315,4903,50AT
AT315,4904,50AT
AT315,5310,50AT
AT315,5311,50AT
AT315,5360,50AT
AT321,5563,49AT
AT321,5570,49AT
AT321,5571,49AT
AT321,5572,49AT
AT321,5573,49AT
AT321,5574,49AT
AT321,5575,49AT
AT321,5580,49AT
AT321,5581,49AT
AT321,5582,49AT
AT321,5583,49AT
AT321,5584,49AT
AT321,5585,49AT
AT321,5591,49AT
AT321,5592,49AT
AT322,5090,49AT
AT322,5091,49AT
AT322,5092,49AT
AT322,5093,49AT
AT322,5450,49AT
AT322,5451,49AT
AT322,5452,49AT
AT322,5453,49AT
AT322,5500,49AT
AT322,5505,49AT
AT322,5511,49AT
AT322,5521,49AT
AT322,5522,49AT
AT322,5531,49AT
AT322,5532,49AT
AT322,5541,49AT
AT322,5542,49AT
AT322,5550,49AT
AT322,5552,49AT
AT322,5561,49AT
AT322,5562,49AT
AT322,5600,49AT
AT322,5602,49AT
AT322,5603,49AT
AT322,5611,49AT
AT322,5612,49AT
AT322,5620,49AT
AT322,5621,49AT
AT322,5622,49AT
AT322,5630,49AT
AT322,5632,49AT
AT322,5640,49AT
AT322,5645,49AT
AT322,5651,49AT
AT322,5652,49AT
AT322,5660,49AT
AT322,5661,49AT
AT322,5662,49AT
AT322,5671,49AT
AT322,5672,49AT
AT322,5700,49AT
AT322,5710,49AT
AT322,5721,49AT
AT322,5722,49AT
AT322,5723,49AT
AT322,5724,49AT
AT322,5730,49AT
AT322,5731,49AT
AT322,5732,49AT
AT322,5733,49AT
AT322,5741,49AT
AT322,5742,49AT
AT322,5743,49AT
AT322,5751,49AT
AT322,5752,49AT
AT322,5753,49AT
AT322,5754,49AT
AT322,5760,49AT
AT322,5761,49AT
AT322,5771,49AT
AT323,4854,49AT
AT323,5020,49AT
AT323,5023,49AT
AT323,5026,49AT
AT323,5061,49AT
AT323,5071,49AT
AT323,5081,49AT
AT323,5082,49AT
AT323,5083,49AT
AT323,5084,49AT
AT323,5101,49AT
AT323,5102,49AT
AT323,5110,49AT
AT323,5111,49AT
AT323,5112,49AT
AT323,5113,49AT
AT323,5114,49AT
AT323,5151,49AT
AT323,5152,49AT
AT323,5161,49AT
AT323,5162,49AT
AT323,5163,49AT
AT323,5164,49AT
AT323,5165,49AT
AT323,5201,49AT
AT323,5202,49AT
AT323,5203,49AT
AT323,5204,49AT
AT323,5205,49AT
AT323,5300,49AT
AT323,5301,49AT
AT323,5302,49AT
AT323,5303,49AT
AT323,5321,49AT
AT323,5322,49AT
AT323,5323,49AT
AT323,5324,49AT
AT323,5325,49AT
AT323,5330,49AT
AT323,5340,49AT
AT323,5342,49AT
AT323,5350,49AT
AT323,5400,49AT
AT323,5411,49AT
AT323,5412,49AT
AT323,5421,49AT
AT323,5422,49AT
AT323,5423,49AT
AT323,5424,49AT
AT323,5425,49AT
AT323,5431,49AT
AT323,5440,49AT
AT323,5441,49AT
AT323,5442,49AT
AT323,5523,49AT
AT323,5524,49AT
AT331,6600,49AT
AT331,6604,49AT
AT331,6610,49AT
AT331,6611,49AT
AT331,6621,49AT
AT331,6622,49AT
AT331,6623,49AT
AT331,6631,49AT
AT332,6020,49AT
AT332,6060,49AT
