NUTS3,CODE,Cluster
BE100,1000,28BE
BE100,1020,28BE
BE100,1030,28BE
BE100,1040,28BE
BE100,1050,28BE
BE100,1060,28BE
BE100,1070,28BE
BE100,1080,28BE
BE100,1081,28BE
BE100,1082,28BE
BE100,1083,28BE
BE100,1090,28BE
BE100,1120,28BE
BE100,1130,28BE
BE100,1140,28BE
BE100,1150,28BE
BE100,1160,28BE
BE100,1170,28BE
BE100,1180,28BE
BE100,1190,28BE
BE100,1200,28BE
BE100,1210,28BE
BE212,2220,28BE
BE212,2221,28BE
BE212,2222,28BE
BE212,2223,28BE
BE212,2500,28BE
BE212,2560,28BE
BE212,2570,28BE
BE212,2580,28BE
BE212,2590,28BE
BE212,2800,28BE
BE212,2801,28BE
BE212,2811,28BE
BE212,2812,28BE
BE212,2820,28BE
BE212,2830,28BE
BE212,2860,28BE
BE212,2861,28BE
BE212,2870,28BE
BE212,2880,28BE
BE212,2890,28BE
BE213,2200,28BE
BE213,2230,28BE
BE213,2235,28BE
BE213,2250,28BE
BE213,2260,28BE
BE213,2270,28BE
BE213,2275,28BE
BE213,2280,28BE
BE213,2288,28BE
BE213,2290,28BE
BE213,2300,28BE
BE213,2310,28BE
BE213,2320,28BE
BE213,2322,28BE
BE213,2323,28BE
BE213,2328,28BE
BE213,2330,28BE
BE213,2340,28BE
BE213,2350,28BE
BE213,2360,28BE
BE213,2370,28BE
BE213,2380,28BE
BE213,2381,28BE
BE213,2382,28BE
BE213,2387,28BE
BE213,2400,28BE
BE213,2430,28BE
BE213,2431,28BE
BE213,2440,28BE
BE213,2450,28BE
BE213,2460,28BE
BE213,2470,28BE
BE213,2480,28BE
BE213,2490,28BE
BE213,2491,28BE
BE223,3570,28BE
BE223,3620,28BE
BE223,3621,28BE
BE223,3630,28BE
BE223,3631,28BE
BE223,3700,28BE
BE223,3717,28BE
BE223,3720,28BE
BE223,3721,28BE
BE223,3722,28BE
BE223,3723,28BE
BE223,3724,28BE
BE223,3730,28BE
BE223,3732,28BE
BE223,3740,28BE
BE223,3742,28BE
BE223,3746,28BE
BE223,3770,28BE
BE223,3790,28BE
BE223,3791,28BE
BE223,3792,28BE
BE223,3793,28BE
BE223,3798,28BE
BE223,3830,28BE
BE223,3831,28BE
BE223,3832,28BE
BE223,3840,28BE
BE223,3870,28BE
BE224,3500,28BE
BE224,3501,28BE
BE224,3510,28BE
BE224,3511,28BE
BE224,3512,28BE
BE224,3520,28BE
BE224,3540,28BE
BE224,3545,28BE
BE224,3550,28BE
BE224,3560,28BE
BE224,3580,28BE
BE224,3581,28BE
BE224,3582,28BE
BE224,3583,28BE
BE224,3590,28BE
BE224,3600,28BE
BE224,3665,28BE
BE224,3668,28BE
BE224,3690,28BE
BE224,3800,28BE
BE224,3803,28BE
BE224,3806,28BE
BE224,3850,28BE
BE224,3890,28BE
BE224,3891,28BE
BE224,3945,28BE
BE224,3970,28BE
BE224,3971,28BE
BE224,3980,28BE
BE225,3530,28BE
BE225,3640,28BE
BE225,3650,28BE
BE225,3660,28BE
BE225,3670,28BE
BE225,3680,28BE
BE225,3900,28BE
BE225,3910,28BE
BE225,3920,28BE
BE225,3930,28BE
BE225,3940,28BE
BE225,3941,28BE
BE225,3950,28BE
BE225,3960,28BE
BE225,3990,28BE
BE231,9300,28BE
BE231,9308,28BE
BE231,9310,28BE
BE231,9320,28BE
BE231,9340,28BE
BE231,9400,28BE
BE231,9401,28BE
BE231,9402,28BE
BE231,9403,28BE
BE231,9404,28BE
BE231,9406,28BE
BE231,9420,28BE
BE231,9450,28BE
BE231,9451,28BE
BE231,9470,28BE
BE231,9472,28BE
BE231,9473,28BE
BE231,9500,28BE
BE231,9506,28BE
BE231,9520,28BE
BE231,9521,28BE
BE231,9550,28BE
BE231,9551,28BE
BE231,9552,28BE
BE231,9620,28BE
BE233,9060,28BE
BE233,9900,28BE
BE233,9960,28BE
BE233,9961,28BE
BE233,9968,28BE
BE233,9970,28BE
BE233,9971,28BE
BE233,9980,28BE
BE233,9981,28BE
BE233,9982,28BE
BE233,9988,28BE
BE233,9990,28BE
BE233,9991,28BE
BE233,9992,28BE
BE234,9000,28BE
BE234,9030,28BE
BE234,9031,28BE
BE234,9032,28BE
BE234,9040,28BE
BE234,9041,28BE
BE234,9042,28BE
BE234,9050,28BE
BE234,9051,28BE
BE234,9052,28BE
BE234,9070,28BE
BE234,9080,28BE
BE234,9090,28BE
BE234,9180,28BE
BE234,9185,28BE
BE234,9800,28BE
BE234,9810,28BE
BE234,9820,28BE
BE234,9830,28BE
BE234,9831,28BE
BE234,9840,28BE
BE234,9850,28BE
BE234,9860,28BE
BE234,9870,28BE
BE234,9880,28BE
BE234,9881,28BE
BE234,9890,28BE
BE234,9910,28BE
BE234,9920,28BE
BE234,9921,28BE
BE234,9930,28BE
BE234,9931,28BE
BE234,9932,28BE
BE234,9940,28BE
BE234,9950,28BE
BE235,9570,28BE
BE235,9571,28BE
BE235,9572,28BE
BE235,9600,28BE
BE235,9630,28BE
BE235,9636,28BE
BE235,9660,28BE
BE235,9661,28BE
BE235,9667,28BE
BE235,9680,28BE
BE235,9681,28BE
BE235,9688,28BE
BE235,9690,28BE
BE235,9700,28BE
BE235,9750,28BE
BE235,9770,28BE
BE235,9771,28BE
BE235,9772,28BE
BE235,9790,28BE
BE236,9100,28BE
BE236,9111,28BE
BE236,9112,28BE
BE236,9120,28BE
BE236,9130,28BE
BE236,9140,28BE
BE236,9150,28BE
BE236,9160,28BE
BE236,9170,28BE
BE236,9190,28BE
BE241,1500,28BE
BE241,1501,28BE
BE241,1502,28BE
BE241,1540,28BE
BE241,1541,28BE
BE241,1547,28BE
BE241,1560,28BE
BE241,1570,28BE
BE241,1600,28BE
BE241,1601,28BE
BE241,1602,28BE
BE241,1620,28BE
BE241,1630,28BE
BE241,1640,28BE
BE241,1650,28BE
BE241,1651,28BE
BE241,1652,28BE
BE241,1653,28BE
BE241,1654,28BE
BE241,1670,28BE
BE241,1671,28BE
BE241,1673,28BE
BE241,1674,28BE
BE241,1700,28BE
BE241,1701,28BE
BE241,1702,28BE
BE241,1703,28BE
BE241,1730,28BE
BE241,1731,28BE
BE241,1740,28BE
BE241,1741,28BE
BE241,1742,28BE
BE241,1745,28BE
BE241,1750,28BE
BE241,1755,28BE
BE241,1760,28BE
BE241,1761,28BE
BE241,1770,28BE
BE241,1780,28BE
BE241,1785,28BE
BE241,1790,28BE
BE241,1800,28BE
BE241,1820,28BE
BE241,1830,28BE
BE241,1831,28BE
BE241,1840,28BE
BE241,1850,28BE
BE241,1851,28BE
BE241,1852,28BE
BE241,1853,28BE
BE241,1860,28BE
BE241,1861,28BE
BE241,1880,28BE
BE241,1910,28BE
BE241,1930,28BE
BE241,1932,28BE
BE241,1933,28BE
BE241,1950,28BE
BE241,1970,28BE
BE241,1980,28BE
BE241,1981,28BE
BE241,1982,28BE
BE241,3090,28BE
BE251,8000,28BE
BE251,8020,28BE
BE251,8200,28BE
BE251,8210,28BE
BE251,8211,28BE
BE251,8300,28BE
BE251,8301,28BE
BE251,8310,28BE
BE251,8340,28BE
BE251,8370,28BE
BE251,8377,28BE
BE251,8380,28BE
BE251,8490,28BE
BE251,8730,28BE
BE251,8820,28BE
BE252,8600,28BE
BE252,8610,28BE
BE252,8647,28BE
BE252,8650,28BE
BE252,8680,28BE
BE253,8640,28BE
BE253,8900,28BE
BE253,8902,28BE
BE253,8904,28BE
BE253,8906,28BE
BE253,8908,28BE
BE253,8920,28BE
BE253,8940,28BE
BE253,8950,28BE
BE253,8951,28BE
BE253,8952,28BE
BE253,8953,28BE
BE253,8954,28BE
BE253,8956,28BE
BE253,8957,28BE
BE253,8958,28BE
BE253,8970,28BE
BE253,8978,28BE
BE253,8980,28BE
BE254,8500,28BE
BE254,8501,28BE
BE254,8510,28BE
BE254,8511,28BE
BE254,8520,28BE
BE254,8530,28BE
BE254,8531,28BE
BE254,8540,28BE
BE254,8550,28BE
BE254,8551,28BE
BE254,8552,28BE
BE254,8553,28BE
BE254,8554,28BE
BE254,8560,28BE
BE254,8570,28BE
BE254,8572,28BE
BE254,8573,28BE
BE254,8580,28BE
BE254,8581,28BE
BE254,8582,28BE
BE254,8583,28BE
BE254,8710,28BE
BE254,8790,28BE
BE254,8791,28BE
BE254,8792,28BE
BE254,8793,28BE
BE254,8860,28BE
BE254,8930,28BE
BE255,8400,28BE
BE255,8420,28BE
BE255,8421,28BE
BE255,8430,28BE
BE255,8431,28BE
BE255,8432,28BE
BE255,8433,28BE
BE255,8434,28BE
BE255,8450,28BE
BE255,8460,28BE
BE255,8470,28BE
BE255,8480,28BE
BE256,8770,28BE
BE256,8800,28BE
BE256,8810,28BE
BE256,8830,28BE
BE256,8840,28BE
BE256,8870,28BE
BE256,8880,28BE
BE256,8890,28BE
BE258,8620,28BE
BE258,8630,28BE
BE258,8660,28BE
BE258,8670,28BE
BE258,8690,28BE
BE258,8691,28BE
BE258,8972,28BE
BE310,1300,28BE
BE310,1301,28BE
BE310,1310,28BE
BE310,1315,28BE
BE310,1320,28BE
BE310,1325,28BE
BE310,1330,28BE
BE310,1331,28BE
BE310,1332,28BE
BE310,1340,28BE
BE310,1341,28BE
BE310,1342,28BE
BE310,1348,28BE
BE310,1350,28BE
BE310,1357,28BE
BE310,1360,28BE
BE310,1367,28BE
BE310,1370,28BE
BE310,1380,28BE
BE310,1390,28BE
BE310,1400,28BE
BE310,1401,28BE
BE310,1402,28BE
BE310,1404,28BE
BE310,1410,28BE
BE310,1420,28BE
BE310,1421,28BE
BE310,1428,28BE
BE310,1430,28BE
BE310,1435,28BE
BE310,1440,28BE
BE310,1450,28BE
BE310,1457,28BE
BE310,1460,28BE
BE310,1461,28BE
BE310,1470,28BE
BE310,1471,28BE
BE310,1472,28BE
BE310,1473,28BE
BE310,1474,28BE
BE310,1476,28BE
BE310,1480,28BE
BE310,1490,28BE
BE310,1495,28BE
BE323,7000,28BE
BE323,7011,28BE
BE323,7012,28BE
BE323,7020,28BE
BE323,7021,28BE
BE323,7022,28BE
BE323,7024,28BE
BE323,7030,28BE
BE323,7031,28BE
BE323,7032,28BE
BE323,7033,28BE
BE323,7034,28BE
BE323,7040,28BE
BE323,7041,28BE
BE323,7050,28BE
BE323,7080,28BE
BE323,7300,28BE
BE323,7301,28BE
BE323,7330,28BE
BE323,7331,28BE
BE323,7332,28BE
BE323,7333,28BE
BE323,7334,28BE
BE323,7340,28BE
BE323,7350,28BE
BE323,7370,28BE
BE323,7380,28BE
BE323,7382,28BE
BE323,7387,28BE
BE323,7390,28BE
BE323,7870,28BE
BE328,7500,28BE
BE328,7501,28BE
BE328,7502,28BE
BE328,7503,28BE
BE328,7504,28BE
BE328,7506,28BE
BE328,7520,28BE
BE328,7521,28BE
BE328,7522,28BE
BE328,7530,28BE
BE328,7531,28BE
BE328,7532,28BE
BE328,7533,28BE
BE328,7534,28BE
BE328,7536,28BE
BE328,7538,28BE
BE328,7540,28BE
BE328,7542,28BE
BE328,7543,28BE
BE328,7548,28BE
BE328,7600,28BE
BE328,7601,28BE
BE328,7602,28BE
BE328,7603,28BE
BE328,7604,28BE
BE328,7608,28BE
BE328,7610,28BE
BE328,7611,28BE
BE328,7618,28BE
BE328,7620,28BE
BE328,7621,28BE
BE328,7622,28BE
BE328,7623,28BE
BE328,7624,28BE
BE328,7640,28BE
BE328,7641,28BE
BE328,7642,28BE
BE328,7643,28BE
BE328,7700,28BE
BE328,7711,28BE
BE328,7712,28BE
BE328,7730,28BE
BE328,7740,28BE
BE328,7742,28BE
BE328,7743,28BE
BE328,7750,28BE
BE328,7760,28BE
BE328,7781,28BE
BE328,7782,28BE
BE328,7783,28BE
BE328,7784,28BE
BE328,7900,28BE
BE328,7901,28BE
BE328,7903,28BE
BE328,7904,28BE
BE328,7906,28BE
BE328,8587,28BE
BE329,7100,28BE
BE329,7110,28BE
BE329,7120,28BE
BE329,7130,28BE
BE329,7131,28BE
BE329,7133,28BE
BE329,7134,28BE
BE329,7140,28BE
BE329,7141,28BE
BE32B,6000,28BE
BE32B,6001,28BE
BE32B,6010,28BE
BE32B,6020,28BE
BE32B,6030,28BE
BE32B,6031,28BE
BE32B,6032,28BE
BE32B,6040,28BE
BE32B,6041,28BE
BE32B,6042,28BE
BE32B,6043,28BE
BE32B,6044,28BE
BE32B,6060,28BE
BE32B,6061,28BE
BE32B,6110,28BE
BE32B,6111,28BE
BE32B,6140,28BE
BE32B,6141,28BE
BE32B,6142,28BE
BE32B,6180,28BE
BE32B,6181,28BE
BE32B,6182,28BE
BE32B,6183,28BE
BE32B,6200,28BE
BE32B,6210,28BE
BE32B,6211,28BE
BE32B,6220,28BE
BE32B,6221,28BE
BE32B,6222,28BE
BE32B,6223,28BE
BE32B,6224,28BE
BE32B,6230,28BE
BE32B,6238,28BE
BE32B,6240,28BE
BE32B,6250,28BE
BE32B,6280,28BE
BE32B,7160,28BE
BE32C,7060,28BE
BE32C,7061,28BE
BE32C,7062,28BE
BE32C,7063,28BE
BE32C,7070,28BE
BE32C,7090,28BE
BE32C,7170,28BE
BE32C,7180,28BE
BE32C,7181,28BE
BE32C,7190,28BE
BE32C,7191,28BE
BE32D,6120,28BE
BE32D,6150,28BE
BE32D,6440,28BE
BE32D,6441,28BE
BE32D,6460,28BE
BE32D,6461,28BE
BE32D,6462,28BE
BE32D,6463,28BE
BE32D,6464,28BE
BE32D,6470,28BE
BE32D,6500,28BE
BE32D,6511,28BE
BE32D,6530,28BE
BE32D,6531,28BE
BE32D,6532,28BE
BE32D,6533,28BE
BE32D,6534,28BE
BE32D,6536,28BE
BE32D,6540,28BE
BE32D,6542,28BE
BE32D,6543,28BE
BE32D,6560,28BE
BE32D,6567,28BE
BE32D,6590,28BE
BE32D,6591,28BE
BE32D,6592,28BE
BE32D,6593,28BE
BE32D,6594,28BE
BE32D,6596,28BE
BE331,4160,28BE
BE331,4161,28BE
BE331,4162,28BE
BE331,4163,28BE
BE331,4180,28BE
BE331,4181,28BE
BE331,4190,28BE
BE331,4210,28BE
BE331,4217,28BE
BE331,4218,28BE
BE331,4480,28BE
BE331,4500,28BE
BE331,4520,28BE
BE331,4530,28BE
BE331,4537,28BE
BE331,4540,28BE
BE331,4550,28BE
BE331,4557,28BE
BE331,4560,28BE
BE331,4570,28BE
BE331,4577,28BE
BE331,4590,28BE
BE332,4000,28BE
BE332,4020,28BE
BE332,4030,28BE
BE332,4031,28BE
BE332,4032,28BE
BE332,4040,28BE
BE332,4041,28BE
BE332,4042,28BE
BE332,4050,28BE
BE332,4051,28BE
BE332,4052,28BE
BE332,4053,28BE
BE332,4100,28BE
BE332,4101,28BE
BE332,4102,28BE
BE332,4120,28BE
BE332,4121,28BE
BE332,4122,28BE
BE332,4130,28BE
BE332,4140,28BE
BE332,4141,28BE
BE332,4170,28BE
BE332,4171,28BE
BE332,4340,28BE
BE332,4342,28BE
BE332,4400,28BE
BE332,4420,28BE
BE332,4430,28BE
BE332,4431,28BE
BE332,4432,28BE
BE332,4450,28BE
BE332,4451,28BE
BE332,4452,28BE
BE332,4453,28BE
BE332,4458,28BE
BE332,4460,28BE
BE332,4600,28BE
BE332,4601,28BE
BE332,4602,28BE
BE332,4606,28BE
BE332,4607,28BE
BE332,4608,28BE
BE332,4610,28BE
BE332,4620,28BE
BE332,4621,28BE
BE332,4623,28BE
BE332,4624,28BE
BE332,4630,28BE
BE332,4631,28BE
BE332,4632,28BE
BE332,4633,28BE
BE332,4670,28BE
BE332,4671,28BE
BE332,4672,28BE
BE332,4680,28BE
BE332,4681,28BE
BE332,4682,28BE
BE332,4683,28BE
BE332,4684,28BE
BE332,4690,28BE
BE332,4920,28BE
BE334,4219,28BE
BE334,4250,28BE
BE334,4252,28BE
BE334,4253,28BE
BE334,4254,28BE
BE334,4257,28BE
