NUTS3,CODE,Cluster
BG311,3677,66BG
BG311,3690,66BG
BG311,3700,66BG
BG311,3726,66BG
BG311,3727,66BG
BG311,3728,66BG
BG311,3729,66BG
BG311,3730,66BG
BG311,3731,66BG
BG311,3732,66BG
BG311,3733,66BG
BG311,3734,66BG
BG311,3736,66BG
BG311,3737,66BG
BG311,3738,66BG
BG311,3739,66BG
BG311,3740,66BG
BG311,3741,66BG
BG311,3742,66BG
BG311,3743,66BG
BG311,3744,66BG
BG311,3745,66BG
BG311,3746,66BG
BG311,3747,66BG
BG311,3748,66BG
BG311,3749,66BG
BG311,3750,66BG
BG311,3751,66BG
BG311,3752,66BG
BG311,3753,66BG
BG311,3754,66BG
BG311,3755,66BG
BG311,3756,66BG
BG311,3757,66BG
BG311,3758,66BG
BG311,3759,66BG
BG311,3760,66BG
BG311,3761,66BG
BG311,3762,66BG
BG311,3763,66BG
BG311,3764,66BG
BG311,3765,66BG
BG311,3766,66BG
BG311,3767,66BG
BG311,3768,66BG
BG311,3769,66BG
BG311,3770,66BG
BG311,3771,66BG
BG311,3772,66BG
BG311,3773,66BG
BG311,3774,66BG
BG311,3775,66BG
BG311,3776,66BG
BG311,3777,66BG
BG311,3778,66BG
BG311,3779,66BG
BG311,3780,66BG
BG311,3781,66BG
BG311,3782,66BG
BG311,3783,66BG
BG311,3784,66BG
BG311,3785,66BG
BG311,3787,66BG
BG311,3788,66BG
BG311,3790,66BG
BG311,3791,66BG
BG311,3792,66BG
BG311,3793,66BG
BG311,3794,66BG
BG311,3795,66BG
BG311,3796,66BG
BG311,3797,66BG
BG311,3798,66BG
BG311,3799,66BG
BG311,3800,66BG
BG311,3818,66BG
BG311,3819,66BG
BG311,3820,66BG
BG311,3821,66BG
BG311,3822,66BG
BG311,3823,66BG
BG311,3824,66BG
BG311,3825,66BG
BG311,3827,66BG
BG311,3828,66BG
BG311,3830,66BG
BG311,3831,66BG
BG311,3832,66BG
BG311,3833,66BG
BG311,3834,66BG
BG311,3835,66BG
BG311,3836,66BG
BG311,3837,66BG
BG311,3838,66BG
BG311,3839,66BG
BG311,3840,66BG
BG311,3841,66BG
BG311,3853,66BG
BG311,3900,66BG
