NUTS3,CODE,Cluster
CH011,1000,47CH
CH011,1001,47CH
CH011,1002,47CH
CH011,1003,47CH
CH011,1004,47CH
CH011,1005,47CH
CH011,1006,47CH
CH011,1007,47CH
CH011,1008,47CH
CH011,1009,47CH
CH011,1010,47CH
CH011,1011,47CH
CH011,1012,47CH
CH011,1014,47CH
CH011,1015,47CH
CH011,1017,47CH
CH011,1018,47CH
CH011,1019,47CH
CH011,1020,47CH
CH011,1022,47CH
CH011,1023,47CH
CH011,1024,47CH
CH011,1025,47CH
CH011,1026,47CH
CH011,1027,47CH
CH011,1028,47CH
CH011,1029,47CH
CH011,1030,47CH
CH011,1031,47CH
CH011,1032,47CH
CH011,1033,47CH
CH011,1034,47CH
CH011,1035,47CH
CH011,1036,47CH
CH011,1037,47CH
CH011,1038,47CH
CH011,1039,47CH
CH011,1040,47CH
CH011,1041,47CH
CH011,1042,47CH
CH011,1043,47CH
CH011,1044,47CH
CH011,1045,47CH
CH011,1046,47CH
CH011,1047,47CH
CH011,1051,47CH
CH011,1052,47CH
CH011,1053,47CH
CH011,1054,47CH
CH011,1055,47CH
CH011,1058,47CH
CH011,1059,47CH
CH011,1061,47CH
CH011,1062,47CH
CH011,1063,47CH
CH011,1066,47CH
CH011,1068,47CH
CH011,1070,47CH
CH011,1071,47CH
CH011,1072,47CH
CH011,1073,47CH
CH011,1076,47CH
CH011,1077,47CH
CH011,1078,47CH
CH011,1080,47CH
CH011,1081,47CH
CH011,1082,47CH
CH011,1083,47CH
CH011,1084,47CH
CH011,1085,47CH
CH011,1088,47CH
CH011,1090,47CH
CH011,1091,47CH
CH011,1092,47CH
CH011,1093,47CH
CH011,1094,47CH
CH011,1095,47CH
CH011,1096,47CH
CH011,1097,47CH
CH011,1098,47CH
CH011,1099,47CH
CH011,1110,47CH
CH011,1112,47CH
CH011,1113,47CH
CH011,1114,47CH
CH011,1115,47CH
CH011,1116,47CH
CH011,1117,47CH
CH011,1121,47CH
CH011,1122,47CH
CH011,1123,47CH
CH011,1124,47CH
CH011,1125,47CH
CH011,1126,47CH
CH011,1127,47CH
CH011,1128,47CH
CH011,1131,47CH
CH011,1132,47CH
CH011,1134,47CH
CH011,1135,47CH
CH011,1136,47CH
CH011,1141,47CH
CH011,1142,47CH
CH011,1143,47CH
CH011,1144,47CH
CH011,1145,47CH
CH011,1146,47CH
CH011,1147,47CH
CH011,1148,47CH
CH011,1149,47CH
CH011,1162,47CH
CH011,1163,47CH
CH011,1164,47CH
CH011,1165,47CH
CH011,1166,47CH
CH011,1167,47CH
CH011,1168,47CH
CH011,1169,47CH
CH011,1170,47CH
CH011,1172,47CH
CH011,1173,47CH
CH011,1174,47CH
CH011,1175,47CH
CH011,1176,47CH
CH011,1180,47CH
CH011,1182,47CH
CH011,1183,47CH
CH011,1184,47CH
CH011,1185,47CH
CH011,1186,47CH
CH011,1187,47CH
CH011,1188,47CH
CH011,1189,47CH
CH011,1195,47CH
CH011,1196,47CH
CH011,1197,47CH
CH013,1200,47CH
CH013,1201,47CH
CH013,1202,47CH
CH013,1203,47CH
CH013,1204,47CH
CH013,1205,47CH
CH013,1206,47CH
CH013,1207,47CH
CH013,1208,47CH
CH013,1209,47CH
CH013,1211,47CH
CH013,1212,47CH
CH013,1213,47CH
CH013,1214,47CH
CH013,1215,47CH
CH013,1216,47CH
CH013,1217,47CH
CH013,1218,47CH
CH013,1219,47CH
CH013,1220,47CH
CH013,1222,47CH
CH013,1223,47CH
CH013,1224,47CH
CH013,1225,47CH
CH013,1226,47CH
CH013,1227,47CH
CH013,1228,47CH
CH013,1231,47CH
CH013,1232,47CH
CH013,1233,47CH
CH013,1234,47CH
CH013,1236,47CH
CH013,1237,47CH
CH013,1239,47CH
CH013,1240,47CH
CH013,1241,47CH
CH013,1242,47CH
CH013,1243,47CH
CH013,1244,47CH
CH013,1245,47CH
CH013,1246,47CH
CH013,1247,47CH
CH013,1248,47CH
CH013,1251,47CH
CH013,1252,47CH
CH013,1253,47CH
CH013,1254,47CH
CH013,1255,47CH
CH013,1256,47CH
CH013,1257,47CH
CH013,1258,47CH
CH011,1260,47CH
CH011,1261,47CH
CH011,1262,47CH
CH011,1263,47CH
CH011,1264,47CH
CH011,1265,47CH
CH011,1266,47CH
CH011,1267,47CH
CH011,1268,47CH
CH011,1269,47CH
CH011,1270,47CH
CH011,1271,47CH
CH011,1272,47CH
CH011,1273,47CH
CH011,1274,47CH
CH011,1275,47CH
CH011,1276,47CH
CH011,1277,47CH
CH011,1278,47CH
CH011,1279,47CH
CH013,1281,47CH
CH013,1283,47CH
CH013,1284,47CH
CH013,1285,47CH
CH013,1286,47CH
CH013,1287,47CH
CH013,1288,47CH
CH013,1290,47CH
CH011,1291,47CH
CH013,1292,47CH
CH013,1293,47CH
CH013,1294,47CH
CH011,1295,47CH
CH011,1296,47CH
CH011,1297,47CH
CH013,1298,47CH
CH011,1299,47CH
CH011,1300,47CH
CH011,1302,47CH
CH011,1303,47CH
CH011,1304,47CH
CH011,1305,47CH
CH011,1306,47CH
CH011,1307,47CH
CH011,1308,47CH
CH011,1310,47CH
CH011,1311,47CH
CH011,1312,47CH
CH011,1313,47CH
CH011,1315,47CH
CH011,1316,47CH
CH011,1317,47CH
CH011,1318,47CH
CH011,1320,47CH
CH011,1321,47CH
CH011,1322,47CH
CH011,1323,47CH
CH011,1324,47CH
CH011,1325,47CH
CH011,1326,47CH
CH011,1329,47CH
CH011,1330,47CH
CH011,1337,47CH
CH011,1338,47CH
CH011,1340,47CH
CH011,1341,47CH
CH011,1342,47CH
CH011,1343,47CH
CH011,1344,47CH
CH011,1345,47CH
CH011,1346,47CH
CH011,1347,47CH
CH011,1348,47CH
CH011,1350,47CH
CH011,1352,47CH
CH011,1353,47CH
CH011,1354,47CH
CH011,1355,47CH
CH011,1356,47CH
CH011,1357,47CH
CH011,1358,47CH
CH011,1372,47CH
CH011,1373,47CH
CH011,1374,47CH
CH011,1375,47CH
CH011,1376,47CH
CH011,1377,47CH
CH011,1400,47CH
CH011,1401,47CH
CH011,1404,47CH
CH011,1405,47CH
CH011,1406,47CH
CH011,1407,47CH
CH011,1408,47CH
CH011,1409,47CH
CH011,1410,47CH
CH011,1412,47CH
CH011,1413,47CH
CH011,1414,47CH
CH011,1415,47CH
CH011,1416,47CH
CH011,1417,47CH
CH011,1418,47CH
CH011,1420,47CH
CH011,1421,47CH
CH011,1422,47CH
CH011,1423,47CH
CH011,1424,47CH
CH011,1425,47CH
CH011,1426,47CH
CH011,1427,47CH
CH011,1428,47CH
CH011,1429,47CH
CH011,1430,47CH
CH011,1431,47CH
CH011,1432,47CH
CH011,1433,47CH
CH011,1434,47CH
CH011,1435,47CH
CH011,1436,47CH
CH011,1437,47CH
CH011,1438,47CH
CH011,1439,47CH
CH011,1440,47CH
CH011,1441,47CH
CH011,1442,47CH
CH011,1443,47CH
CH011,1445,47CH
CH011,1446,47CH
CH011,1450,47CH
CH011,1452,47CH
CH011,1453,47CH
CH011,1454,47CH
CH011,1462,47CH
CH011,1463,47CH
CH011,1464,47CH
CH022,1468,47CH
CH022,1470,47CH
CH022,1473,47CH
CH022,1474,47CH
CH022,1475,47CH
CH022,1482,47CH
CH022,1483,47CH
CH022,1484,47CH
CH022,1485,47CH
CH022,1486,47CH
CH022,1489,47CH
CH011,1509,47CH
CH011,1510,47CH
CH011,1512,47CH
CH011,1513,47CH
CH011,1514,47CH
CH011,1515,47CH
CH011,1521,47CH
CH011,1522,47CH
CH011,1523,47CH
CH011,1524,47CH
CH011,1525,47CH
CH011,1526,47CH
CH022,1527,47CH
CH022,1528,47CH
CH022,1529,47CH
CH011,1530,47CH
CH022,1532,47CH
CH022,1533,47CH
CH011,1534,47CH
CH011,1535,47CH
CH011,1536,47CH
CH011,1537,47CH
CH011,1538,47CH
CH022,1541,47CH
CH022,1542,47CH
CH011,1543,47CH
CH022,1544,47CH
CH011,1545,47CH
CH011,1551,47CH
CH011,1552,47CH
CH022,1553,47CH
CH011,1554,47CH
CH011,1555,47CH
CH011,1562,47CH
CH022,1563,47CH
CH022,1564,47CH
CH022,1565,47CH
CH022,1566,47CH
CH022,1567,47CH
CH022,1568,47CH
CH011,1580,47CH
CH011,1582,47CH
CH022,1583,47CH
CH011,1584,47CH
CH011,1585,47CH
CH011,1586,47CH
