NUTS3,CODE,Cluster
CZ020,14900,39CZ
CZ020,25001,39CZ
CZ020,25061,39CZ
CZ020,25063,39CZ
CZ020,25064,39CZ
CZ020,25065,39CZ
CZ020,25066,39CZ
CZ020,25067,39CZ
CZ020,25068,39CZ
CZ020,25069,39CZ
CZ020,25070,39CZ
CZ020,25072,39CZ
CZ020,25073,39CZ
CZ020,25074,39CZ
CZ020,25075,39CZ
CZ020,25081,39CZ
CZ020,25082,39CZ
CZ020,25083,39CZ
CZ020,25084,39CZ
CZ020,25085,39CZ
CZ020,25087,39CZ
CZ020,25088,39CZ
CZ020,25089,39CZ
CZ020,25090,39CZ
CZ020,25091,39CZ
CZ020,25092,39CZ
CZ020,25101,39CZ
CZ020,25162,39CZ
CZ020,25163,39CZ
CZ020,25164,39CZ
CZ020,25165,39CZ
CZ020,25166,39CZ
CZ020,25167,39CZ
CZ020,25168,39CZ
CZ020,25169,39CZ
CZ020,25202,39CZ
CZ020,25203,39CZ
CZ020,25204,39CZ
CZ020,25205,39CZ
CZ020,25206,39CZ
CZ020,25207,39CZ
CZ020,25208,39CZ
CZ020,25209,39CZ
CZ020,25210,39CZ
CZ020,25216,39CZ
CZ020,25217,39CZ
CZ020,25218,39CZ
CZ020,25219,39CZ
CZ020,25225,39CZ
CZ020,25226,39CZ
CZ020,25228,39CZ
CZ020,25229,39CZ
CZ020,25230,39CZ
CZ020,25231,39CZ
CZ020,25241,39CZ
CZ020,25242,39CZ
CZ020,25243,39CZ
CZ020,25244,39CZ
CZ020,25245,39CZ
CZ020,25246,39CZ
CZ020,25250,39CZ
CZ020,25261,39CZ
CZ020,25262,39CZ
CZ020,25263,39CZ
CZ020,25264,39CZ
CZ020,25265,39CZ
CZ020,25266,39CZ
CZ020,25267,39CZ
CZ020,25268,39CZ
CZ020,25281,39CZ
CZ020,25282,39CZ
CZ020,25301,39CZ
CZ020,25303,39CZ
CZ020,25401,39CZ
CZ020,25601,39CZ
CZ020,25701,39CZ
CZ020,25703,39CZ
CZ020,25705,39CZ
CZ020,25706,39CZ
CZ020,25708,39CZ
CZ020,25709,39CZ
CZ020,25721,39CZ
CZ020,25722,39CZ
CZ020,25723,39CZ
CZ020,25724,39CZ
CZ020,25726,39CZ
CZ020,25728,39CZ
CZ020,25741,39CZ
CZ020,25742,39CZ
CZ020,25744,39CZ
CZ020,25751,39CZ
CZ020,25753,39CZ
CZ020,25755,39CZ
CZ020,25756,39CZ
CZ020,25763,39CZ
CZ020,25764,39CZ
CZ020,25765,39CZ
CZ020,25768,39CZ
CZ020,25771,39CZ
CZ020,25786,39CZ
CZ020,25787,39CZ
CZ020,25789,39CZ
CZ020,25791,39CZ
CZ020,25801,39CZ
CZ020,25901,39CZ
CZ020,26101,39CZ
CZ020,26202,39CZ
CZ020,26203,39CZ
CZ020,26204,39CZ
CZ020,26205,39CZ
CZ020,26206,39CZ
CZ020,26211,39CZ
CZ020,26212,39CZ
CZ020,26213,39CZ
CZ020,26214,39CZ
CZ020,26215,39CZ
CZ020,26221,39CZ
CZ020,26222,39CZ
CZ020,26223,39CZ
CZ020,26225,39CZ
