NUTS3,CODE,Cluster
DK011,1050,72DK
DK011,1051,72DK
DK011,1052,72DK
DK011,1053,72DK
DK011,1054,72DK
DK011,1055,72DK
DK011,1056,72DK
DK011,1057,72DK
DK011,1058,72DK
DK011,1059,72DK
DK011,1060,72DK
DK011,1061,72DK
DK011,1062,72DK
DK011,1063,72DK
DK011,1064,72DK
DK011,1065,72DK
DK011,1066,72DK
DK011,1067,72DK
DK011,1068,72DK
DK011,1069,72DK
DK011,1070,72DK
DK011,1071,72DK
DK011,1072,72DK
DK011,1073,72DK
DK011,1074,72DK
DK011,1100,72DK
DK011,1101,72DK
DK011,1102,72DK
DK011,1103,72DK
DK011,1104,72DK
DK011,1105,72DK
DK011,1106,72DK
DK011,1107,72DK
DK011,1110,72DK
DK011,1111,72DK
DK011,1112,72DK
DK011,1113,72DK
DK011,1114,72DK
DK011,1115,72DK
DK011,1116,72DK
DK011,1117,72DK
DK011,1118,72DK
DK011,1119,72DK
DK011,1120,72DK
DK011,1121,72DK
DK011,1122,72DK
DK011,1123,72DK
DK011,1124,72DK
DK011,1125,72DK
DK011,1126,72DK
DK011,1127,72DK
DK011,1128,72DK
DK011,1129,72DK
DK011,1130,72DK
DK011,1131,72DK
DK011,1150,72DK
DK011,1151,72DK
DK011,1152,72DK
DK011,1153,72DK
DK011,1154,72DK
DK011,1155,72DK
DK011,1156,72DK
DK011,1157,72DK
DK011,1158,72DK
DK011,1159,72DK
DK011,1160,72DK
DK011,1161,72DK
DK011,1162,72DK
DK011,1164,72DK
DK011,1165,72DK
DK011,1166,72DK
DK011,1167,72DK
DK011,1168,72DK
DK011,1169,72DK
DK011,1170,72DK
DK011,1171,72DK
DK011,1172,72DK
DK011,1173,72DK
DK011,1174,72DK
DK011,1175,72DK
DK011,1200,72DK
DK011,1201,72DK
DK011,1202,72DK
DK011,1203,72DK
DK011,1204,72DK
DK011,1205,72DK
DK011,1206,72DK
DK011,1207,72DK
DK011,1208,72DK
DK011,1209,72DK
DK011,1210,72DK
DK011,1211,72DK
DK011,1212,72DK
DK011,1213,72DK
DK011,1214,72DK
DK011,1215,72DK
DK011,1216,72DK
DK011,1218,72DK
DK011,1219,72DK
DK011,1220,72DK
DK011,1250,72DK
DK011,1251,72DK
DK011,1252,72DK
DK011,1253,72DK
DK011,1254,72DK
DK011,1255,72DK
DK011,1256,72DK
DK011,1257,72DK
DK011,1259,72DK
DK011,1260,72DK
DK011,1261,72DK
DK011,1263,72DK
DK011,1264,72DK
DK011,1265,72DK
DK011,1266,72DK
DK011,1267,72DK
DK011,1268,72DK
DK011,1270,72DK
DK011,1271,72DK
DK011,1300,72DK
DK011,1301,72DK
DK011,1302,72DK
DK011,1303,72DK
DK011,1304,72DK
DK011,1306,72DK
DK011,1307,72DK
DK011,1308,72DK
DK011,1309,72DK
DK011,1310,72DK
DK011,1311,72DK
DK011,1312,72DK
DK011,1313,72DK
DK011,1314,72DK
DK011,1315,72DK
DK011,1316,72DK
DK011,1317,72DK
DK011,1318,72DK
DK011,1319,72DK
DK011,1320,72DK
DK011,1321,72DK
DK011,1322,72DK
DK011,1323,72DK
DK011,1324,72DK
DK011,1325,72DK
DK011,1326,72DK
DK011,1327,72DK
DK011,1328,72DK
DK011,1329,72DK
DK011,1350,72DK
DK011,1352,72DK
DK011,1353,72DK
DK011,1354,72DK
DK011,1355,72DK
DK011,1356,72DK
DK011,1357,72DK
DK011,1358,72DK
DK011,1359,72DK
DK011,1360,72DK
DK011,1361,72DK
DK011,1362,72DK
DK011,1363,72DK
DK011,1364,72DK
DK011,1365,72DK
DK011,1366,72DK
DK011,1367,72DK
DK011,1368,72DK
DK011,1369,72DK
DK011,1370,72DK
DK011,1371,72DK
DK011,1400,72DK
DK011,1401,72DK
DK011,1402,72DK
DK011,1403,72DK
DK011,1406,72DK
DK011,1407,72DK
DK011,1408,72DK
DK011,1410,72DK
DK011,1411,72DK
DK011,1412,72DK
DK011,1413,72DK
DK011,1414,72DK
DK011,1415,72DK
DK011,1416,72DK
DK011,1417,72DK
DK011,1418,72DK
DK011,1419,72DK
DK011,1420,72DK
DK011,1421,72DK
DK011,1422,72DK
DK011,1423,72DK
DK011,1424,72DK
DK011,1425,72DK
DK011,1426,72DK
DK011,1427,72DK
DK011,1428,72DK
DK011,1429,72DK
DK011,1430,72DK
