NUTS3,CODE,Cluster
EE008,42001,73EE
EE008,42002,73EE
EE008,42003,73EE
EE008,42004,73EE
EE008,42005,73EE
EE008,42006,73EE
EE008,42007,73EE
EE008,42101,73EE
EE008,42102,73EE
EE008,42103,73EE
EE008,42104,73EE
EE008,42106,73EE
EE008,42107,73EE
EE008,42108,73EE
EE008,42109,73EE
EE008,42110,73EE
EE008,42111,73EE
EE008,42112,73EE
EE008,42113,73EE
EE008,42114,73EE
EE008,42115,73EE
EE008,42116,73EE
EE008,42117,73EE
EE008,42118,73EE
EE008,42119,73EE
EE008,42120,73EE
EE008,42122,73EE
EE008,48001,73EE
EE008,48003,73EE
EE008,48004,73EE
EE008,48005,73EE
EE008,48006,73EE
EE008,48007,73EE
EE008,48008,73EE
EE008,48010,73EE
EE008,48011,73EE
EE008,48012,73EE
EE008,48013,73EE
EE008,48014,73EE
EE008,48015,73EE
EE008,48016,73EE
EE008,48017,73EE
EE008,48018,73EE
EE008,48019,73EE
EE008,48020,73EE
EE008,48021,73EE
EE008,48022,73EE
EE008,48023,73EE
EE008,48024,73EE
EE008,48025,73EE
EE008,48026,73EE
EE008,48027,73EE
EE008,48028,73EE
EE008,48029,73EE
EE008,48030,73EE
EE008,48031,73EE
EE008,48032,73EE
EE008,48103,73EE
EE008,48104,73EE
EE008,48105,73EE
EE008,48106,73EE
EE008,48202,73EE
EE008,48203,73EE
EE008,48204,73EE
EE008,48205,73EE
EE008,48206,73EE
EE008,48207,73EE
EE008,48208,73EE
EE008,48209,73EE
EE008,48210,73EE
EE008,48211,73EE
EE008,48212,73EE
EE008,48213,73EE
EE008,48214,73EE
EE008,48215,73EE
EE008,48216,73EE
EE008,48217,73EE
EE008,48218,73EE
EE008,48219,73EE
EE008,48220,73EE
EE008,48221,73EE
EE008,48222,73EE
EE008,48223,73EE
EE008,48224,73EE
EE008,48303,73EE
EE008,48304,73EE
EE008,48305,73EE
EE008,48306,73EE
EE008,48307,73EE
EE008,48308,73EE
EE008,48309,73EE
EE008,48405,73EE
