NUTS3,CODE,Cluster
EL304,16451,69GR
EL304,16452,69GR
EL304,16561,69GR
EL304,16562,69GR
EL304,16674,69GR
EL304,16675,69GR
EL304,16777,69GR
EL304,17121,69GR
EL304,17122,69GR
EL304,17123,69GR
EL304,17124,69GR
EL304,17341,69GR
EL304,17342,69GR
EL304,17343,69GR
EL304,17455,69GR
EL304,17456,69GR
EL304,17561,69GR
EL304,17562,69GR
EL304,17563,69GR
EL304,17564,69GR
EL304,17671,69GR
EL304,17672,69GR
EL304,17673,69GR
EL304,17674,69GR
EL304,17675,69GR
EL304,17676,69GR
EL304,17778,69GR
EL304,18344,69GR
EL304,18345,69GR
EL304,18346,69GR
EL421,85002,69GR
EL421,85100,69GR
EL421,85101,69GR
EL421,85102,69GR
EL421,85103,69GR
EL421,85104,69GR
EL421,85105,69GR
EL421,85106,69GR
EL421,85107,69GR
EL421,85108,69GR
EL421,85109,69GR
EL421,85200,69GR
EL421,85300,69GR
EL421,85301,69GR
EL421,85303,69GR
EL421,85400,69GR
EL421,85600,69GR
EL421,85700,69GR
EL421,85900,69GR
EL511,68001,68GR
EL511,68002,68GR
EL511,68003,68GR
EL511,68004,68GR
EL511,68006,68GR
EL511,68007,68GR
EL511,68008,68GR
EL511,68010,68GR
EL511,68013,68GR
EL511,68014,68GR
EL511,68100,68GR
EL511,68200,68GR
EL511,68300,68GR
EL511,68400,68GR
EL511,68500,68GR
EL523,61002,68GR
EL523,61003,68GR
EL523,61007,68GR
EL523,61100,68GR
EL523,61200,68GR
EL523,61300,68GR
EL523,61400,68GR
EL532,50007,68GR
EL532,52050,68GR
EL532,52051,68GR
EL532,52052,68GR
EL532,52053,68GR
EL532,52055,68GR
EL532,52056,68GR
EL532,52057,68GR
EL532,52058,68GR
EL532,52059,68GR
EL532,52100,68GR
EL532,52200,68GR
EL613,37001,69GR
EL613,37002,69GR
EL613,37003,69GR
EL613,37005,69GR
EL613,37006,69GR
EL613,37008,69GR
EL613,37009,69GR
EL613,37010,69GR
EL613,37011,69GR
