NUTS3,CODE,Cluster
ES230,26001,04ES
ES230,26002,04ES
ES230,26003,04ES
ES230,26004,04ES
ES230,26005,04ES
ES230,26006,04ES
ES230,26007,04ES
ES230,26008,04ES
ES230,26009,04ES
ES230,26100,04ES
ES230,26110,04ES
ES230,26111,04ES
ES230,26120,04ES
ES230,26121,04ES
ES230,26122,04ES
ES230,26123,04ES
ES230,26124,04ES
ES230,26125,04ES
ES230,26126,04ES
ES230,26130,04ES
ES230,26131,04ES
ES230,26132,04ES
ES230,26133,04ES
ES230,26134,04ES
ES230,26135,04ES
ES230,26140,04ES
ES230,26141,04ES
ES230,26142,04ES
ES230,26143,04ES
ES230,26144,04ES
ES230,26145,04ES
ES230,26146,04ES
ES230,26147,04ES
ES230,26148,04ES
ES230,26150,04ES
ES230,26151,04ES
ES230,26160,04ES
ES230,26190,04ES
ES230,26191,04ES
ES230,26200,04ES
ES230,26210,04ES
ES230,26211,04ES
ES230,26212,04ES
ES230,26213,04ES
ES230,26214,04ES
ES230,26215,04ES
ES230,26216,04ES
ES230,26220,04ES
ES230,26221,04ES
ES230,26222,04ES
ES230,26223,04ES
ES230,26224,04ES
ES230,26230,04ES
ES230,26240,04ES
ES230,26241,04ES
ES230,26250,04ES
ES230,26256,04ES
ES230,26257,04ES
ES230,26258,04ES
ES230,26259,04ES
ES230,26260,04ES
ES230,26261,04ES
ES230,26270,04ES
ES230,26280,04ES
ES230,26288,04ES
ES230,26289,04ES
ES230,26291,04ES
ES230,26292,04ES
ES230,26300,04ES
ES230,26310,04ES
ES230,26311,04ES
ES230,26312,04ES
ES230,26313,04ES
ES230,26314,04ES
ES230,26315,04ES
ES230,26320,04ES
ES230,26321,04ES
ES230,26322,04ES
ES230,26323,04ES
ES230,26324,04ES
ES230,26325,04ES
ES230,26326,04ES
ES230,26327,04ES
ES230,26328,04ES
ES230,26329,04ES
ES230,26330,04ES
ES230,26338,04ES
ES230,26339,04ES
ES230,26340,04ES
ES230,26350,04ES
ES230,26359,04ES
ES230,26360,04ES
ES230,26370,04ES
ES230,26371,04ES
ES230,26372,04ES
ES230,26373,04ES
ES230,26374,04ES
ES230,26375,04ES
ES230,26376,04ES
ES230,26500,04ES
ES230,26509,04ES
ES230,26510,04ES
ES230,26511,04ES
ES230,26512,04ES
ES230,26513,04ES
ES230,26520,04ES
ES230,26525,04ES
ES230,26526,04ES
ES230,26527,04ES
ES230,26528,04ES
ES230,26529,04ES
ES230,26530,04ES
ES230,26531,04ES
ES230,26532,04ES
ES230,26533,04ES
ES230,26540,04ES
ES230,26550,04ES
ES230,26559,04ES
ES230,26560,04ES
ES230,26570,04ES
ES230,26580,04ES
ES230,26584,04ES
ES230,26585,04ES
ES230,26586,04ES
ES230,26587,04ES
ES230,26588,04ES
ES230,26589,04ES
ES241,22001,05ES
ES241,22002,05ES
ES241,22003,05ES
ES241,22004,05ES
ES241,22005,05ES
ES241,22006,05ES
ES241,22100,05ES
ES241,22110,05ES
ES241,22111,05ES
ES241,22112,05ES
ES241,22113,05ES
ES241,22120,05ES
ES241,22121,05ES
ES241,22122,05ES
ES241,22123,05ES
ES241,22124,05ES
ES241,22125,05ES
ES241,22126,05ES
ES241,22130,05ES
ES241,22131,05ES
ES241,22132,05ES
ES241,22133,05ES
ES241,22134,05ES
ES241,22135,05ES
ES241,22140,05ES
ES241,22141,05ES
ES241,22142,05ES
ES241,22143,05ES
ES241,22144,05ES
ES241,22145,05ES
ES241,22146,05ES
ES241,22147,05ES
ES241,22148,05ES
ES241,22149,05ES
ES241,22150,05ES
ES241,22160,05ES
ES241,22161,05ES
ES241,22162,05ES
ES241,22190,05ES
ES241,22191,05ES
ES241,22192,05ES
ES241,22193,05ES
ES241,22194,05ES
ES241,22195,05ES
ES241,22196,05ES
ES241,22197,05ES
ES241,22200,05ES
ES241,22210,05ES
ES241,22212,05ES
ES241,22213,05ES
ES241,22214,05ES
ES241,22215,05ES
ES241,22216,05ES
ES241,22220,05ES
ES241,22221,05ES
ES241,22222,05ES
ES241,22223,05ES
ES241,22230,05ES
ES241,22231,05ES
ES241,22232,05ES
ES241,22233,05ES
ES241,22234,05ES
ES241,22240,05ES
ES241,22250,05ES
ES241,22251,05ES
ES241,22252,05ES
ES241,22253,05ES
ES241,22254,05ES
ES241,22255,05ES
ES241,22260,05ES
ES241,22268,05ES
ES241,22269,05ES
ES241,22270,05ES
ES241,22280,05ES
ES241,22281,05ES
ES241,22282,05ES
ES241,22283,05ES
ES241,22300,05ES
ES241,22310,05ES
ES241,22311,05ES
ES241,22312,05ES
ES241,22313,05ES
ES241,22314,05ES
ES241,22315,05ES
ES241,22320,05ES
ES241,22330,05ES
ES241,22336,05ES
ES241,22337,05ES
ES241,22338,05ES
ES241,22339,05ES
ES241,22340,05ES
ES241,22347,05ES
ES241,22348,05ES
ES241,22349,05ES
ES241,22350,05ES
ES241,22351,05ES
ES241,22360,05ES
ES241,22361,05ES
