NUTS3,CODE,Cluster
FI197,14960,75FI
FI197,14980,75FI
FI197,31140,75FI
FI197,31160,75FI
FI197,31700,75FI
FI197,31720,75FI
FI197,31730,75FI
FI197,31750,75FI
FI197,31760,75FI
FI197,31761,75FI
FI197,31810,75FI
FI197,31830,75FI
FI197,31850,75FI
FI197,31860,75FI
FI197,31900,75FI
FI197,31930,75FI
FI197,31950,75FI
FI197,31970,75FI
FI197,32730,75FI
FI197,32740,75FI
FI197,33100,75FI
FI197,33101,75FI
FI197,33180,75FI
FI197,33200,75FI
FI197,33210,75FI
FI197,33230,75FI
FI197,33231,75FI
FI197,33240,75FI
FI197,33250,75FI
FI197,33270,75FI
FI197,33300,75FI
FI197,33310,75FI
FI197,33330,75FI
FI197,33340,75FI
FI197,33380,75FI
FI197,33400,75FI
FI197,33410,75FI
FI197,33420,75FI
FI197,33430,75FI
FI197,33450,75FI
FI197,33470,75FI
FI197,33480,75FI
FI197,33500,75FI
FI197,33520,75FI
FI197,33530,75FI
FI197,33540,75FI
FI197,33560,75FI
FI197,33580,75FI
FI197,33610,75FI
FI197,33680,75FI
FI197,33700,75FI
FI197,33710,75FI
FI197,33720,75FI
FI197,33730,75FI
FI197,33731,75FI
FI197,33800,75FI
FI197,33820,75FI
FI197,33840,75FI
FI197,33850,75FI
FI197,33870,75FI
FI197,33880,75FI
FI197,33900,75FI
FI197,33920,75FI
FI197,33950,75FI
FI197,33960,75FI
FI197,33980,75FI
FI197,34110,75FI
FI197,34130,75FI
FI197,34140,75FI
FI197,34150,75FI
FI197,34180,75FI
FI197,34240,75FI
FI197,34260,75FI
FI197,34270,75FI
FI197,34300,75FI
FI197,34301,75FI
FI197,34320,75FI
FI197,34330,75FI
FI197,34410,75FI
FI197,34420,75FI
FI197,34430,75FI
FI197,34450,75FI
FI197,34510,75FI
FI197,34530,75FI
FI197,34550,75FI
FI197,34600,75FI
FI197,34640,75FI
FI197,34710,75FI
FI197,34730,75FI
FI197,34740,75FI
FI197,34770,75FI
FI197,34800,75FI
