NUTS3,CODE,Cluster
FR105,92000,23FR
FR105,92100,23FR
FR105,92110,23FR
FR105,92120,23FR
FR105,92130,23FR
FR105,92140,23FR
FR105,92150,23FR
FR105,92160,23FR
FR105,92170,23FR
FR105,92190,23FR
FR105,92200,23FR
FR105,92210,23FR
FR105,92220,23FR
FR105,92230,23FR
FR105,92240,23FR
FR105,92250,23FR
FR105,92260,23FR
FR105,92270,23FR
FR105,92290,23FR
FR105,92300,23FR
FR105,92310,23FR
FR105,92320,23FR
FR105,92330,23FR
FR105,92340,23FR
FR105,92350,23FR
FR105,92360,23FR
FR105,92370,23FR
FR105,92380,23FR
FR105,92390,23FR
FR105,92400,23FR
FR105,92410,23FR
FR105,92420,23FR
FR105,92430,23FR
FR105,92500,23FR
FR105,92600,23FR
FR105,92700,23FR
FR105,92800,23FR
FR105,93450,23FR
FRB04,37000,17FR
FRB04,37100,17FR
FRB04,37110,17FR
FRB04,37120,17FR
FRB04,37130,17FR
FRB04,37140,17FR
FRB04,37150,17FR
FRB04,37160,17FR
FRB04,37170,17FR
FRB04,37190,17FR
FRB04,37200,17FR
FRB04,37210,17FR
FRB04,37220,17FR
FRB04,37230,17FR
FRB04,37240,17FR
FRB04,37250,17FR
FRB04,37260,17FR
FRB04,37270,17FR
FRB04,37290,17FR
FRB04,37300,17FR
FRB04,37310,17FR
FRB04,37320,17FR
FRB04,37330,17FR
FRB04,37340,17FR
FRB04,37350,17FR
FRB04,37360,17FR
FRB04,37370,17FR
FRB04,37380,17FR
FRB04,37390,17FR
FRB04,37400,17FR
FRB04,37420,17FR
FRB04,37460,17FR
FRB04,37500,17FR
FRB04,37510,17FR
FRB04,37520,17FR
FRB04,37530,17FR
FRB04,37540,17FR
FRB04,37550,17FR
FRB04,37600,17FR
FRB04,37700,17FR
FRB04,37800,17FR
FRC14,89000,24FR
FRC14,89100,24FR
FRC14,89110,24FR
FRC14,89113,24FR
FRC14,89116,24FR
FRC14,89130,24FR
FRC14,89140,24FR
FRC14,89144,24FR
FRC14,89150,24FR
FRC14,89160,24FR
FRC14,89170,24FR
FRC14,89190,24FR
FRC14,89200,24FR
FRC14,89210,24FR
FRC14,89220,24FR
FRC14,89230,24FR
FRC14,89240,24FR
FRC14,89250,24FR
FRC14,89260,24FR
FRC14,89270,24FR
FRC14,89290,24FR
FRC14,89300,24FR
FRC14,89310,24FR
FRC14,89320,24FR
FRC14,89330,24FR
FRC14,89340,24FR
FRC14,89350,24FR
FRC14,89360,24FR
FRC14,89380,24FR
FRC14,89390,24FR
FRC14,89400,24FR
FRC14,89410,24FR
FRC14,89420,24FR
FRC14,89430,24FR
FRC14,89440,24FR
FRC14,89450,24FR
FRC14,89460,24FR
FRC14,89470,24FR
FRC14,89480,24FR
FRC14,89500,24FR
FRC14,89510,24FR
FRC14,89520,24FR
FRC14,89530,24FR
FRC14,89550,24FR
FRC14,89560,24FR
FRC14,89570,24FR
FRC14,89580,24FR
FRC14,89600,24FR
FRC14,89630,24FR
FRC14,89660,24FR
FRC14,89690,24FR
FRC14,89700,24FR
FRC14,89710,24FR
FRC14,89740,24FR
FRC14,89770,24FR
FRC14,89800,24FR
FRD13,61000,22FR
FRD13,61100,22FR
FRD13,61110,22FR
FRD13,61120,22FR
FRD13,61130,22FR
FRD13,61140,22FR
FRD13,61150,22FR
FRD13,61160,22FR
FRD13,61170,22FR
FRD13,61190,22FR
FRD13,61200,22FR
FRD13,61210,22FR
FRD13,61220,22FR
FRD13,61230,22FR
FRD13,61240,22FR
FRD13,61250,22FR
FRD13,61260,22FR
FRD13,61270,22FR
FRD13,61290,22FR
FRD13,61300,22FR
FRD13,61310,22FR
FRD13,61320,22FR
FRD13,61330,22FR
FRD13,61340,22FR
FRD13,61350,22FR
FRD13,61360,22FR
FRD13,61370,22FR
FRD13,61380,22FR
FRD13,61390,22FR
FRD13,61400,22FR
FRD13,61410,22FR
FRD13,61420,22FR
FRD13,61430,22FR
FRD13,61440,22FR
FRD13,61450,22FR
FRD13,61470,22FR
FRD13,61490,22FR
FRD13,61500,22FR
FRD13,61550,22FR
FRD13,61560,22FR
FRD13,61570,22FR
FRD13,61600,22FR
FRD13,61700,22FR
FRD13,61790,22FR
FRD13,61800,22FR
FRE22,60000,26FR
FRE22,60100,26FR
FRE22,60110,26FR
FRE22,60112,26FR
FRE22,60113,26FR
FRE22,60117,26FR
FRE22,60119,26FR
FRE22,60120,26FR
