NUTS3,CODE,Cluster
HR022,33000,62HR
HR022,33405,62HR
HR022,33410,62HR
HR022,33515,62HR
HR022,33520,62HR
HR028,34551,62HR
HR028,44000,62HR
HR028,44010,62HR
HR028,44210,62HR
HR028,44250,62HR
HR028,44317,62HR
HR028,44320,62HR
HR028,44330,62HR
HR028,44400,62HR
HR028,44410,62HR
HR028,44430,62HR
HR028,44440,62HR
HR037,20000,62HR
HR037,20207,62HR
HR037,20210,62HR
HR037,20215,62HR
HR037,20221,62HR
HR037,20222,62HR
HR037,20223,62HR
HR037,20225,62HR
HR037,20226,62HR
HR037,20230,62HR
HR037,20232,62HR
HR037,20235,62HR
HR037,20240,62HR
HR037,20244,62HR
HR037,20246,62HR
HR037,20250,62HR
HR037,20260,62HR
HR037,20270,62HR
HR037,20271,62HR
HR037,20274,62HR
HR037,20290,62HR
HR037,20340,62HR
HR037,20350,62HR
HR037,20355,62HR
HR065,10255,62HR
HR065,10290,62HR
HR065,10291,62HR
HR065,10292,62HR
HR065,10295,62HR
HR065,10297,62HR
HR065,10298,62HR
HR065,10310,62HR
HR065,10315,62HR
HR065,10340,62HR
HR065,10342,62HR
HR065,10370,62HR
HR065,10380,62HR
HR065,10410,62HR
HR065,10413,62HR
HR065,10414,62HR
HR065,10430,62HR
HR065,10431,62HR
HR065,10435,62HR
HR065,10436,62HR
HR065,10450,62HR
HR065,10451,62HR
HR065,10454,62HR
HR021,43000,62HR
HR021,43240,62HR
HR021,43270,62HR
HR021,43280,62HR
HR021,43290,62HR
HR021,43500,62HR
HR023,34000,62HR
HR023,34310,62HR
HR023,34340,62HR
HR023,34550,62HR
HR024,35000,62HR
HR024,35212,62HR
HR024,35214,62HR
HR024,35220,62HR
HR024,35222,62HR
HR024,35250,62HR
HR024,35252,62HR
HR024,35400,62HR
HR024,35410,62HR
HR024,35420,62HR
HR024,35430,62HR
HR025,31000,62HR
HR025,31200,62HR
HR025,31207,62HR
HR025,31226,62HR
HR025,31300,62HR
HR025,31326,62HR
HR025,31400,62HR
HR025,31431,62HR
HR025,31500,62HR
HR025,31511,62HR
HR025,31540,62HR
HR025,31550,62HR
HR025,31551,62HR
HR026,32000,62HR
HR026,32100,62HR
HR026,32236,62HR
HR026,32242,62HR
HR026,32249,62HR
HR026,32252,62HR
HR026,32257,62HR
HR026,32270,62HR
HR026,32272,62HR
HR026,32284,62HR
HR027,47000,62HR
HR027,47220,62HR
HR027,47240,62HR
HR027,47250,62HR
HR027,47280,62HR
HR027,47300,62HR
HR031,51000,62HR
HR031,51211,62HR
HR031,51215,62HR
HR031,51216,62HR
HR031,51217,62HR
HR031,51218,62HR
HR031,51224,62HR
HR031,51226,62HR
HR031,51250,62HR
HR031,51260,62HR
HR031,51262,62HR
HR031,51280,62HR
HR031,51300,62HR
HR031,51306,62HR
HR031,51326,62HR
HR031,51410,62HR
HR031,51415,62HR
HR031,51500,62HR
HR031,51511,62HR
HR031,51523,62HR
HR031,51552,62HR
HR031,51556,62HR
HR031,51561,62HR
HR031,51562,62HR
HR032,53000,62HR
HR032,53202,62HR
HR032,53220,62HR
HR032,53230,62HR
HR032,53234,62HR
HR032,53250,62HR
HR032,53260,62HR
HR032,53270,62HR
HR032,53288,62HR
HR032,53291,62HR
HR033,22213,62HR
HR033,23000,62HR
HR033,23205,62HR
HR033,23206,62HR
HR033,23210,62HR
HR033,23222,62HR
HR033,23223,62HR
HR033,23232,62HR
HR033,23233,62HR
HR033,23234,62HR
HR033,23235,62HR
HR033,23241,62HR
HR033,23244,62HR
HR033,23248,62HR
HR033,23250,62HR
HR033,23271,62HR
HR033,23273,62HR
HR033,23283,62HR
HR033,23286,62HR
HR033,23287,62HR
HR033,23291,62HR
HR033,23292,62HR
HR033,23293,62HR
HR033,23294,62HR
HR033,23295,62HR
HR033,23296,62HR
HR033,23312,62HR
HR033,23420,62HR
HR033,23422,62HR
HR033,23440,62HR
HR033,23450,62HR
HR034,22000,62HR
HR034,22202,62HR
HR034,22222,62HR
HR034,22232,62HR
HR034,22233,62HR
HR034,22234,62HR
HR034,22235,62HR
HR034,22236,62HR
HR034,22240,62HR
HR034,22243,62HR
HR034,22300,62HR
HR034,22320,62HR
HR034,22323,62HR
HR035,21000,62HR
HR035,21203,62HR
HR035,21204,62HR
HR035,21210,62HR
HR035,21212,62HR
HR035,21214,62HR
HR035,21217,62HR
HR035,21220,62HR
HR035,21222,62HR
HR035,21230,62HR
HR035,21232,62HR
HR035,21233,62HR
HR035,21236,62HR
HR035,21238,62HR
HR035,21240,62HR
HR035,21250,62HR
HR035,21256,62HR
HR035,21260,62HR
HR035,21270,62HR
HR035,21276,62HR
HR035,21292,62HR
HR035,21300,62HR
HR035,21311,62HR
HR035,21315,62HR
HR035,21320,62HR
HR035,21327,62HR
HR035,21330,62HR
HR035,21400,62HR
HR035,21405,62HR
HR035,21410,62HR
HR035,21412,62HR
HR035,21420,62HR
HR035,21425,62HR
HR035,21430,62HR
HR035,21450,62HR
HR035,21460,62HR
HR035,21465,62HR
HR035,21469,62HR
HR036,52000,62HR
HR036,52100,62HR
HR036,52207,62HR
HR036,52210,62HR
HR036,52220,62HR
HR036,52333,62HR
HR036,52341,62HR
HR036,52420,62HR
HR036,52424,62HR
HR036,52440,62HR
HR036,52460,62HR
HR036,52466,62HR
HR036,52470,62HR
HR050,10000,62HR
HR050,10010,62HR
HR050,10020,62HR
HR050,10040,62HR
HR050,10090,62HR
HR050,10104,62HR
HR050,10105,62HR
HR050,10110,62HR
HR050,10135,62HR
HR050,10250,62HR
HR050,10257,62HR
HR050,10360,62HR
HR050,10361,62HR
HR050,10362,62HR
HR050,10363,62HR
HR061,40000,62HR
HR061,40313,62HR
HR061,40315,62HR
HR061,40320,62HR
HR061,40323,62HR
HR062,42000,62HR
HR062,42202,62HR
HR062,42204,62HR
HR062,42208,62HR
HR062,42220,62HR
HR062,42223,62HR
HR062,42230,62HR
HR062,42240,62HR
HR062,42243,62HR
HR062,42250,62HR
HR063,48000,62HR
HR063,48214,62HR
HR063,48260,62HR
HR063,48316,62HR
HR063,48331,62HR
HR063,48350,62HR
HR064,49000,62HR
HR064,49210,62HR
HR064,49216,62HR
HR064,49217,62HR
HR064,49218,62HR
HR064,49221,62HR
HR064,49223,62HR
HR064,49225,62HR
HR064,49231,62HR
HR064,49240,62HR
HR064,49243,62HR
HR064,49246,62HR
HR064,49250,62HR
HR064,49252,62HR
HR064,49282,62HR
HR064,49284,62HR
HR064,49290,62HR
HR037,20236,62HR
HR031,51417,62HR
HR031,51550,62HR
HR031,51557,62HR
HR033,23212,62HR
HR033,23242,62HR
HR033,23281,62HR
HR033,23284,62HR
HR034,22211,62HR
HR035,21225,62HR
HR035,21310,62HR
HR035,21480,62HR
HR035,21485,62HR
