NUTS3,CODE,Cluster
HU312,3000,58HU
HU312,3009,58HU
HU312,3011,58HU
HU312,3012,58HU
HU312,3013,58HU
HU312,3014,58HU
HU312,3015,58HU
HU312,3016,58HU
HU312,3021,58HU
HU312,3022,58HU
HU312,3023,58HU
HU312,3024,58HU
HU312,3031,58HU
HU312,3032,58HU
HU312,3033,58HU
HU312,3034,58HU
HU312,3035,58HU
HU312,3036,58HU
HU312,3200,58HU
HU312,3211,58HU
HU312,3212,58HU
HU312,3213,58HU
HU312,3214,58HU
HU312,3221,58HU
HU312,3231,58HU
HU312,3232,58HU
HU312,3233,58HU
HU312,3234,58HU
HU312,3235,58HU
HU312,3240,58HU
HU312,3242,58HU
HU312,3243,58HU
HU312,3244,58HU
HU312,3245,58HU
HU312,3246,58HU
HU312,3247,58HU
HU312,3248,58HU
HU312,3250,58HU
HU312,3252,58HU
HU312,3253,58HU
HU312,3254,58HU
HU312,3255,58HU
HU312,3256,58HU
HU312,3257,58HU
HU312,3258,58HU
HU312,3259,58HU
HU312,3261,58HU
HU312,3262,58HU
HU312,3263,58HU
HU312,3264,58HU
HU312,3265,58HU
HU312,3271,58HU
HU312,3272,58HU
HU312,3273,58HU
HU312,3274,58HU
HU312,3275,58HU
HU312,3281,58HU
HU312,3282,58HU
HU312,3283,58HU
HU312,3284,58HU
HU312,3291,58HU
HU312,3292,58HU
HU312,3293,58HU
HU312,3294,58HU
HU312,3295,58HU
HU312,3296,58HU
HU312,3300,58HU
HU312,3321,58HU
HU312,3322,58HU
HU312,3323,58HU
HU312,3324,58HU
HU312,3325,58HU
HU312,3326,58HU
HU312,3327,58HU
HU312,3328,58HU
HU312,3331,58HU
HU312,3332,58HU
HU312,3333,58HU
HU312,3334,58HU
HU312,3335,58HU
HU312,3336,58HU
HU312,3337,58HU
HU312,3341,58HU
HU312,3343,58HU
HU312,3344,58HU
HU312,3345,58HU
HU312,3346,58HU
HU312,3347,58HU
HU312,3348,58HU
HU312,3349,58HU
HU312,3350,58HU
HU312,3351,58HU
HU312,3352,58HU
HU312,3353,58HU
HU312,3354,58HU
HU312,3355,58HU
HU312,3356,58HU
HU312,3357,58HU
HU312,3358,58HU
HU312,3359,58HU
HU312,3360,58HU
HU312,3368,58HU
HU312,3369,58HU
HU312,3371,58HU
HU312,3372,58HU
HU312,3373,58HU
HU312,3374,58HU
HU312,3375,58HU
HU312,3377,58HU
HU312,3378,58HU
HU312,3379,58HU
HU312,3381,58HU
HU312,3382,58HU
HU312,3383,58HU
HU312,3384,58HU
HU312,3385,58HU
HU312,3386,58HU
HU312,3387,58HU
HU312,3388,58HU
HU312,3390,58HU
HU312,3394,58HU
HU312,3395,58HU
HU312,3396,58HU
HU312,3397,58HU
HU312,3398,58HU
HU312,3399,58HU
HU333,6600,58HU
HU333,6612,58HU
HU333,6621,58HU
HU333,6622,58HU
HU333,6623,58HU
HU333,6624,58HU
HU333,6625,58HU
HU333,6630,58HU
HU333,6635,58HU
HU333,6636,58HU
HU333,6640,58HU
HU333,6645,58HU
HU333,6646,58HU
HU333,6647,58HU
HU333,6648,58HU
HU333,6700,58HU
