NUTS3,CODE,Cluster
IE061,A41,96IE
IE061,A42,96IE
IE061,A45,96IE
IE061,A94,96IE
IE061,A96,96IE
IE061,D01,96IE
IE061,D02,96IE
IE061,D03,96IE
IE061,D04,96IE
IE061,D05,96IE
IE061,D06,96IE
IE061,D07,96IE
IE061,D08,96IE
IE061,D09,96IE
IE061,D10,96IE
IE061,D11,96IE
IE061,D12,96IE
IE061,D13,96IE
IE061,D14,96IE
IE061,D15,96IE
IE061,D16,96IE
IE061,D17,96IE
IE061,D18,96IE
IE061,D20,96IE
IE061,D22,96IE
IE061,D24,96IE
IE061,D6W,96IE
IE061,K36,96IE
IE061,K45,96IE
IE061,K56,96IE
IE061,K67,96IE
IE061,K78,96IE
IE041,A75,96IE
IE041,A81,96IE
IE041,F56,96IE
IE041,F91,96IE
IE041,F92,96IE
IE041,F93,96IE
IE041,F94,96IE
IE041,H12,96IE
IE041,H14,96IE
IE041,H16,96IE
IE041,H18,96IE
IE041,H23,96IE
IE041,N41,96IE
IE042,F12,96IE
IE042,F23,96IE
IE042,F26,96IE
IE042,F28,96IE
IE042,F31,96IE
IE042,F35,96IE
IE042,F42,96IE
IE042,F45,96IE
IE042,F52,96IE
IE042,H53,96IE
IE042,H54,96IE
IE042,H62,96IE
IE042,H65,96IE
IE042,H71,96IE
IE042,H91,96IE
IE051,E21,96IE
IE051,E25,96IE
IE051,E32,96IE
IE051,E34,96IE
IE051,E41,96IE
IE051,E45,96IE
IE051,E53,96IE
IE051,E91,96IE
IE051,V14,96IE
IE051,V15,96IE
IE051,V35,96IE
IE051,V42,96IE
IE051,V94,96IE
IE051,V95,96IE
IE052,R21,96IE
IE052,R93,96IE
IE052,R95,96IE
IE052,X42,96IE
IE052,X91,96IE
IE052,Y21,96IE
IE052,Y25,96IE
IE052,Y34,96IE
IE052,Y35,96IE
IE053,P12,96IE
IE053,P17,96IE
IE053,P24,96IE
IE053,P25,96IE
IE053,P31,96IE
IE053,P32,96IE
IE053,P36,96IE
IE053,P43,96IE
IE053,P47,96IE
IE053,P51,96IE
IE053,P56,96IE
IE053,P61,96IE
IE053,P67,96IE
IE053,P72,96IE
IE053,P75,96IE
IE053,P81,96IE
IE053,P85,96IE
IE053,T12,96IE
IE053,T23,96IE
IE053,T34,96IE
IE053,T45,96IE
IE053,T56,96IE
IE053,V23,96IE
IE053,V31,96IE
IE053,V92,96IE
IE053,V93,96IE
IE062,A63,96IE
IE062,A67,96IE
IE062,A82,96IE
IE062,A83,96IE
IE062,A84,96IE
IE062,A85,96IE
IE062,A86,96IE
IE062,A91,96IE
IE062,A92,96IE
IE062,A98,96IE
IE062,C15,96IE
IE062,P14,96IE
IE062,R14,96IE
IE062,R51,96IE
IE062,R56,96IE
IE062,W12,96IE
IE062,W23,96IE
IE062,W34,96IE
IE062,W91,96IE
IE062,Y14,96IE
IE063,N37,96IE
IE063,N39,96IE
IE063,N91,96IE
IE063,R32,96IE
IE063,R35,96IE
IE063,R42,96IE
IE063,R45,96IE
IE061,K32,96IE
IE061,K34,96IE
