NUTS3,CODE,Cluster
ITC13,13811,52IT
ITC13,13812,52IT
ITC13,13814,52IT
ITC13,13815,52IT
ITC13,13816,52IT
ITC13,13817,52IT
ITC13,13818,52IT
ITC13,13821,52IT
ITC13,13822,52IT
ITC13,13823,52IT
ITC13,13824,52IT
ITC13,13825,52IT
ITC13,13831,52IT
ITC13,13833,52IT
ITC13,13834,52IT
ITC13,13835,52IT
ITC13,13836,52IT
ITC13,13841,52IT
ITC13,13843,52IT
ITC13,13844,52IT
ITC13,13845,52IT
ITC13,13847,52IT
ITC13,13848,52IT
ITC13,13851,52IT
ITC13,13852,52IT
ITC13,13853,52IT
ITC13,13854,52IT
ITC13,13855,52IT
ITC13,13856,52IT
ITC13,13861,52IT
ITC13,13862,52IT
ITC13,13863,52IT
ITC13,13864,52IT
ITC13,13865,52IT
ITC13,13866,52IT
ITC13,13867,52IT
ITC13,13868,52IT
ITC13,13871,52IT
ITC13,13872,52IT
ITC13,13873,52IT
ITC13,13874,52IT
ITC13,13875,52IT
ITC13,13876,52IT
ITC13,13877,52IT
ITC13,13878,52IT
ITC13,13881,52IT
ITC13,13882,52IT
ITC13,13883,52IT
ITC13,13884,52IT
ITC13,13885,52IT
ITC13,13886,52IT
ITC13,13887,52IT
ITC13,13888,52IT
ITC13,13891,52IT
ITC13,13893,52IT
ITC13,13894,52IT
ITC13,13895,52IT
ITC13,13896,52IT
ITC13,13897,52IT
ITC13,13898,52IT
ITC13,13899,52IT
ITC13,13900,52IT
ITC20,11010,52IT
ITC20,11012,52IT
ITC20,11017,52IT
ITC20,11020,52IT
ITC20,11021,52IT
ITC20,11024,52IT
ITC20,11025,52IT
ITC20,11026,52IT
ITC20,11027,52IT
ITC20,11028,52IT
ITC20,11029,52IT
ITC20,11100,52IT
ITC43,23801,52IT
ITC43,23802,52IT
ITC43,23804,52IT
ITC43,23805,52IT
ITC43,23806,52IT
ITC43,23807,52IT
ITC43,23808,52IT
ITC43,23811,52IT
ITC43,23813,52IT
ITC43,23814,52IT
ITC43,23815,52IT
ITC43,23816,52IT
ITC43,23817,52IT
ITC43,23818,52IT
ITC43,23819,52IT
ITC43,23821,52IT
ITC43,23822,52IT
ITC43,23823,52IT
ITC43,23824,52IT
ITC43,23825,52IT
ITC43,23826,52IT
ITC43,23827,52IT
ITC43,23828,52IT
ITC43,23829,52IT
ITC43,23831,52IT
ITC43,23832,52IT
ITC43,23833,52IT
ITC43,23834,52IT
ITC43,23835,52IT
ITC43,23836,52IT
ITC43,23837,52IT
ITC43,23838,52IT
ITC43,23841,52IT
ITC43,23842,52IT
ITC43,23843,52IT
ITC43,23844,52IT
ITC43,23845,52IT
ITC43,23846,52IT
ITC43,23847,52IT
ITC43,23848,52IT
ITC43,23849,52IT
ITC43,23851,52IT
ITC43,23852,52IT
ITC43,23854,52IT
ITC43,23855,52IT
ITC43,23857,52IT
ITC43,23861,52IT
ITC43,23862,52IT
ITC43,23864,52IT
ITC43,23865,52IT
ITC43,23867,52IT
ITC43,23868,52IT
ITC43,23870,52IT
ITC43,23871,52IT
ITC43,23873,52IT
ITC43,23874,52IT
ITC43,23875,52IT
ITC43,23876,52IT
ITC43,23877,52IT
ITC43,23878,52IT
ITC43,23879,52IT
ITC43,23880,52IT
ITC43,23881,52IT
ITC43,23883,52IT
ITC43,23884,52IT
ITC43,23885,52IT
ITC43,23886,52IT
ITC43,23887,52IT
ITC43,23888,52IT
ITC43,23889,52IT
ITC43,23890,52IT
ITC43,23891,52IT
ITC43,23892,52IT
ITC43,23893,52IT
ITC43,23894,52IT
ITC43,23895,52IT
ITC43,23896,52IT
ITC43,23897,52IT
ITC43,23898,52IT
ITC43,23899,52IT
ITC43,23900,52IT
ITC4A,26010,52IT
ITC4A,26011,52IT
ITC4A,26012,52IT
ITC4A,26013,52IT
ITC4A,26014,52IT
ITC4A,26016,52IT
ITC4A,26017,52IT
ITC4A,26018,52IT
ITC4A,26019,52IT
ITC4A,26020,52IT
ITC4A,26021,52IT
ITC4A,26022,52IT
ITC4A,26023,52IT
ITC4A,26024,52IT
ITC4A,26025,52IT
ITC4A,26026,52IT
ITC4A,26027,52IT
ITC4A,26028,52IT
ITC4A,26029,52IT
ITC4A,26030,52IT
ITC4A,26031,52IT
ITC4A,26032,52IT
ITC4A,26033,52IT
ITC4A,26034,52IT
ITC4A,26035,52IT
ITC4A,26036,52IT
ITC4A,26037,52IT
ITC4A,26038,52IT
ITC4A,26039,52IT
ITC4A,26040,52IT
ITC4A,26041,52IT
ITC4A,26042,52IT
ITC4A,26043,52IT
ITC4A,26044,52IT
ITC4A,26045,52IT
ITC4A,26046,52IT
ITC4A,26047,52IT
