NUTS3,CODE,Cluster
LT011,10001,77LT
LT011,10004,77LT
LT011,10007,77LT
LT011,1001,77LT
LT011,10013,77LT
LT011,10100,77LT
LT011,10101,77LT
LT011,10102,77LT
LT011,10103,77LT
LT011,10104,77LT
LT011,10105,77LT
LT011,10106,77LT
LT011,10107,77LT
LT011,10108,77LT
LT011,1013,77LT
LT011,10150,77LT
LT011,10151,77LT
LT011,10152,77LT
LT011,10153,77LT
LT011,10154,77LT
LT011,10156,77LT
LT011,10200,77LT
LT011,10201,77LT
LT011,10202,77LT
LT011,10203,77LT
LT011,10204,77LT
LT011,10205,77LT
LT011,10206,77LT
LT011,10207,77LT
LT011,10208,77LT
LT011,10209,77LT
LT011,10210,77LT
LT011,10211,77LT
LT011,10212,77LT
LT011,10213,77LT
LT011,10214,77LT
LT011,10215,77LT
LT011,10216,77LT
LT011,10217,77LT
LT011,10218,77LT
LT011,10219,77LT
LT011,10220,77LT
LT011,10221,77LT
LT011,10222,77LT
LT011,10223,77LT
LT011,10224,77LT
LT011,10225,77LT
LT011,10226,77LT
LT011,10227,77LT
LT011,10228,77LT
LT011,10229,77LT
LT011,10230,77LT
LT011,10231,77LT
LT011,10232,77LT
LT011,10233,77LT
LT011,10234,77LT
LT011,10235,77LT
LT011,10236,77LT
LT011,10237,77LT
LT011,10238,77LT
LT011,10239,77LT
LT011,10240,77LT
LT011,10241,77LT
LT011,10242,77LT
LT011,10243,77LT
LT011,10244,77LT
LT011,10245,77LT
LT011,10246,77LT
LT011,10247,77LT
LT011,10249,77LT
LT011,1025,77LT
LT011,10300,77LT
LT011,10301,77LT
LT011,10302,77LT
LT011,10303,77LT
LT011,10304,77LT
LT011,10305,77LT
LT011,10306,77LT
LT011,10307,77LT
LT011,10308,77LT
LT011,10309,77LT
LT011,1031,77LT
LT011,10310,77LT
LT011,10311,77LT
LT011,10312,77LT
LT011,10313,77LT
LT011,10314,77LT
LT011,10315,77LT
LT011,10316,77LT
LT011,10317,77LT
LT011,10318,77LT
LT011,10319,77LT
LT011,10320,77LT
LT011,10321,77LT
LT011,10322,77LT
LT011,10323,77LT
LT011,10324,77LT
LT011,10325,77LT
LT011,10326,77LT
LT011,1047,77LT
LT011,1100,77LT
LT011,11001,77LT
LT011,11005,77LT
LT011,1101,77LT
LT011,11010,77LT
LT011,11013,77LT
LT011,1102,77LT
LT011,1103,77LT
LT011,1104,77LT
LT011,1105,77LT
LT011,1106,77LT
LT011,1107,77LT
LT011,1108,77LT
LT011,1109,77LT
LT011,1110,77LT
LT011,11100,77LT
LT011,11101,77LT
LT011,11102,77LT
LT011,11103,77LT
LT011,11104,77LT
LT011,11105,77LT
LT011,11106,77LT
LT011,11107,77LT
LT011,11108,77LT
LT011,11109,77LT
LT011,1111,77LT
LT011,11110,77LT
LT011,11111,77LT
LT011,11112,77LT
LT011,11113,77LT
LT011,11114,77LT
LT011,11115,77LT
LT011,11116,77LT
LT011,11117,77LT
LT011,11118,77LT
LT011,11119,77LT
LT011,1112,77LT
LT011,11121,77LT
LT011,11122,77LT
LT011,11123,77LT
LT011,11124,77LT
LT011,11125,77LT
LT011,1113,77LT
