NUTS3,CODE,Cluster
LU000,3734,29LU
LU000,5655,29LU
LU000,5670,29LU
LU000,1019,29LU
LU000,1111,29LU
LU000,1112,29LU
LU000,1113,29LU
LU000,1114,29LU
LU000,1115,29LU
LU000,1116,29LU
LU000,1117,29LU
LU000,1118,29LU
LU000,1119,29LU
LU000,1120,29LU
LU000,1121,29LU
LU000,1122,29LU
LU000,1123,29LU
LU000,1124,29LU
LU000,1125,29LU
LU000,1126,29LU
LU000,1127,29LU
LU000,1128,29LU
LU000,1129,29LU
LU000,1130,29LU
LU000,1131,29LU
LU000,1132,29LU
LU000,1133,29LU
LU000,1134,29LU
LU000,1135,29LU
LU000,1136,29LU
LU000,1137,29LU
LU000,1138,29LU
LU000,1139,29LU
LU000,1140,29LU
LU000,1141,29LU
LU000,1142,29LU
LU000,1143,29LU
LU000,1144,29LU
LU000,1145,29LU
LU000,1146,29LU
LU000,1147,29LU
LU000,1148,29LU
LU000,1149,29LU
LU000,1150,29LU
LU000,1151,29LU
LU000,1152,29LU
LU000,1159,29LU
LU000,1160,29LU
LU000,1161,29LU
LU000,1208,29LU
LU000,1209,29LU
LU000,1210,29LU
LU000,1211,29LU
LU000,1212,29LU
LU000,1213,29LU
LU000,1214,29LU
LU000,1215,29LU
LU000,1216,29LU
LU000,1217,29LU
LU000,1218,29LU
LU000,1219,29LU
LU000,1220,29LU
LU000,1221,29LU
LU000,1222,29LU
LU000,1223,29LU
LU000,1224,29LU
LU000,1225,29LU
LU000,1226,29LU
LU000,1227,29LU
LU000,1228,29LU
LU000,1229,29LU
LU000,1230,29LU
LU000,1231,29LU
LU000,1232,29LU
LU000,1233,29LU
LU000,1234,29LU
LU000,1235,29LU
LU000,1236,29LU
LU000,1237,29LU
LU000,1238,29LU
LU000,1239,29LU
LU000,1240,29LU
LU000,1241,29LU
LU000,1242,29LU
LU000,1243,29LU
LU000,1244,29LU
LU000,1245,29LU
LU000,1246,29LU
LU000,1247,29LU
LU000,1248,29LU
LU000,1249,29LU
LU000,1250,29LU
LU000,1251,29LU
LU000,1252,29LU
LU000,1253,29LU
LU000,1254,29LU
LU000,1255,29LU
LU000,1256,29LU
LU000,1257,29LU
LU000,1258,29LU
LU000,1259,29LU
LU000,1260,29LU
LU000,1261,29LU
LU000,1262,29LU
LU000,1263,29LU
LU000,1264,29LU
LU000,1265,29LU
LU000,1266,29LU
LU000,1267,29LU
LU000,1268,29LU
LU000,1269,29LU
LU000,1270,29LU
LU000,1271,29LU
LU000,1272,29LU
LU000,1273,29LU
LU000,1274,29LU
LU000,1275,29LU
LU000,1276,29LU
LU000,1277,29LU
LU000,1278,29LU
LU000,1279,29LU
LU000,1280,29LU
LU000,1281,29LU
LU000,1282,29LU
LU000,1283,29LU
LU000,1309,29LU
LU000,1310,29LU
LU000,1311,29LU
LU000,1312,29LU
LU000,1313,29LU
LU000,1314,29LU
LU000,1316,29LU
LU000,1317,29LU
LU000,1318,29LU
LU000,1319,29LU
LU000,1320,29LU
LU000,1321,29LU
LU000,1322,29LU
LU000,1323,29LU
LU000,1324,29LU
LU000,1325,29LU
LU000,1326,29LU
LU000,1327,29LU
LU000,1328,29LU
LU000,1329,29LU
