NUTS3,CODE,Cluster
LV005,LV-4501,78LV
LV005,LV-4561,78LV
LV005,LV-4562,78LV
LV005,LV-4566,78LV
LV005,LV-4567,78LV
LV005,LV-4570,78LV
LV005,LV-4571,78LV
LV005,LV-4572,78LV
LV005,LV-4573,78LV
LV005,LV-4574,78LV
LV005,LV-4576,78LV
LV005,LV-4577,78LV
LV005,LV-4580,78LV
LV005,LV-4582,78LV
LV005,LV-4583,78LV
LV005,LV-4584,78LV
LV005,LV-4585,78LV
LV005,LV-4586,78LV
LV005,LV-4587,78LV
LV005,LV-4590,78LV
LV005,LV-4591,78LV
LV005,LV-4592,78LV
LV005,LV-4594,78LV
LV005,LV-4595,78LV
LV005,LV-4601,78LV
LV005,LV-4604,78LV
LV005,LV-4611,78LV
LV005,LV-4612,78LV
LV005,LV-4614,78LV
LV005,LV-4615,78LV
LV005,LV-4616,78LV
LV005,LV-4617,78LV
LV005,LV-4618,78LV
LV005,LV-4619,78LV
LV005,LV-4621,78LV
LV005,LV-4622,78LV
LV005,LV-4623,78LV
LV005,LV-4625,78LV
LV005,LV-4626,78LV
LV005,LV-4627,78LV
LV005,LV-4628,78LV
LV005,LV-4630,78LV
LV005,LV-4631,78LV
LV005,LV-4633,78LV
LV005,LV-4634,78LV
LV005,LV-4635,78LV
LV005,LV-4636,78LV
LV005,LV-4638,78LV
LV005,LV-4640,78LV
LV005,LV-4641,78LV
LV005,LV-4642,78LV
LV005,LV-4643,78LV
LV005,LV-4645,78LV
LV005,LV-4647,78LV
LV005,LV-4648,78LV
LV005,LV-4649,78LV
LV005,LV-4650,78LV
LV005,LV-4652,78LV
LV005,LV-5216,78LV
LV005,LV-5301,78LV
LV005,LV-5304,78LV
LV005,LV-5305,78LV
LV005,LV-5311,78LV
LV005,LV-5312,78LV
LV005,LV-5315,78LV
LV005,LV-5316,78LV
LV005,LV-5318,78LV
LV005,LV-5320,78LV
LV005,LV-5323,78LV
LV005,LV-5325,78LV
LV005,LV-5326,78LV
LV005,LV-5327,78LV
LV005,LV-5328,78LV
LV005,LV-5329,78LV
LV005,LV-5330,78LV
LV005,LV-5331,78LV
LV005,LV-5333,78LV
LV005,LV-5334,78LV
LV005,LV-5335,78LV
LV005,LV-5337,78LV
LV005,LV-5401,78LV
LV005,LV-5404,78LV
LV005,LV-5410,78LV
LV005,LV-5412,78LV
LV005,LV-5413,78LV
LV005,LV-5414,78LV
LV005,LV-5415,78LV
LV005,LV-5417,78LV
LV005,LV-5418,78LV
LV005,LV-5422,78LV
LV005,LV-5438,78LV
LV005,LV-5439,78LV
LV005,LV-5440,78LV
LV005,LV-5441,78LV
LV005,LV-5442,78LV
LV005,LV-5443,78LV
LV005,LV-5444,78LV
LV005,LV-5447,78LV
LV005,LV-5449,78LV
LV005,LV-5450,78LV
LV005,LV-5451,78LV
LV005,LV-5456,78LV
LV005,LV-5458,78LV
LV005,LV-5459,78LV
LV005,LV-5460,78LV
LV005,LV-5461,78LV
LV005,LV-5462,78LV
LV005,LV-5463,78LV
LV005,LV-5465,78LV
LV005,LV-5469,78LV
LV005,LV-5470,78LV
LV005,LV-5471,78LV
LV005,LV-5473,78LV
LV005,LV-5474,78LV
