NUTS3,CODE,Cluster
MK000,1000,67MK
MK000,1010,67MK
MK000,1011,67MK
MK000,1020,67MK
MK000,1040,67MK
MK000,1041,67MK
MK000,1042,67MK
MK000,1043,67MK
MK000,1044,67MK
MK000,1045,67MK
MK000,1047,67MK
MK000,1050,67MK
MK000,1053,67MK
MK000,1054,67MK
MK000,1060,67MK
MK000,1062,67MK
MK000,1063,67MK
MK000,1200,67MK
MK000,1201,67MK
MK000,1203,67MK
MK000,1206,67MK
MK000,1211,67MK
MK000,1212,67MK
MK000,1213,67MK
MK000,1214,67MK
MK000,1215,67MK
MK000,1216,67MK
MK000,1218,67MK
MK000,1219,67MK
MK000,1220,67MK
MK000,1221,67MK
MK000,1224,67MK
MK000,1225,67MK
MK000,1226,67MK
MK000,1227,67MK
MK000,1228,67MK
MK000,1230,67MK
MK000,1231,67MK
MK000,1234,67MK
MK000,1235,67MK
MK000,1236,67MK
MK000,1237,67MK
MK000,1238,67MK
MK000,1239,67MK
MK000,1250,67MK
MK000,1254,67MK
MK000,1255,67MK
MK000,1256,67MK
MK000,1257,67MK
MK000,1258,67MK
MK000,1300,67MK
MK000,1302,67MK
MK000,1303,67MK
MK000,1304,67MK
MK000,1305,67MK
MK000,1306,67MK
MK000,1307,67MK
MK000,1308,67MK
MK000,1309,67MK
MK000,1312,67MK
MK000,1314,67MK
MK000,1315,67MK
MK000,1316,67MK
MK000,1322,67MK
MK000,1323,67MK
MK000,1324,67MK
MK000,1325,67MK
MK000,1330,67MK
MK000,1332,67MK
MK000,1333,67MK
MK000,1334,67MK
MK000,1335,67MK
MK000,1360,67MK
MK000,1361,67MK
MK000,1400,67MK
MK000,1406,67MK
MK000,1407,67MK
MK000,1408,67MK
MK000,1413,67MK
MK000,1414,67MK
MK000,1415,67MK
MK000,1420,67MK
MK000,1421,67MK
MK000,1422,67MK
MK000,1423,67MK
MK000,1424,67MK
MK000,1426,67MK
MK000,1427,67MK
MK000,1430,67MK
MK000,1434,67MK
MK000,1437,67MK
MK000,1440,67MK
MK000,1441,67MK
MK000,1442,67MK
MK000,1443,67MK
MK000,1480,67MK
MK000,1483,67MK
MK000,1484,67MK
MK000,1485,67MK
MK000,1487,67MK
MK000,1488,67MK
MK000,1489,67MK
MK000,2000,67MK
MK000,2207,67MK
MK000,2208,67MK
MK000,2210,67MK
MK000,2212,67MK
MK000,2220,67MK
MK000,2225,67MK
MK000,2227,67MK
MK000,2300,67MK
MK000,2301,67MK
MK000,2302,67MK
MK000,2304,67MK
MK000,2305,67MK
MK000,2307,67MK
MK000,2310,67MK
MK000,2312,67MK
MK000,2314,67MK
MK000,2315,67MK
MK000,2316,67MK
MK000,2320,67MK
MK000,2325,67MK
MK000,2326,67MK
MK000,2330,67MK
MK000,2331,67MK
MK000,2332,67MK
MK000,2333,67MK
MK000,2400,67MK
MK000,2410,67MK
MK000,2411,67MK
MK000,2412,67MK
MK000,2413,67MK
MK000,2414,67MK
MK000,2416,67MK
MK000,2420,67MK
MK000,2423,67MK
MK000,2424,67MK
MK000,2430,67MK
MK000,2431,67MK
MK000,2432,67MK
MK000,2433,67MK
MK000,2434,67MK
MK000,2435,67MK
MK000,2436,67MK
MK000,2460,67MK
MK000,2461,67MK
MK000,2464,67MK
MK000,6000,67MK
MK000,6245,67MK
MK000,6250,67MK
MK000,6253,67MK
MK000,6254,67MK
MK000,6255,67MK
MK000,6256,67MK
MK000,6257,67MK
MK000,6258,67MK
MK000,6259,67MK
MK000,6260,67MK
MK000,6261,67MK
MK000,6262,67MK
MK000,6306,67MK
MK000,6322,67MK
MK000,6330,67MK
MK000,6333,67MK
MK000,6334,67MK
MK000,6335,67MK
MK000,6336,67MK
MK000,6337,67MK
MK000,6338,67MK
MK000,6339,67MK
MK000,6341,67MK
MK000,6342,67MK
MK000,6344,67MK
MK000,6346,67MK
MK000,6530,67MK
MK000,6533,67MK
MK000,6535,67MK
MK000,6539,67MK
MK000,7000,67MK
MK000,7202,67MK
MK000,7204,67MK
MK000,7205,67MK
MK000,7211,67MK
MK000,7212,67MK
MK000,7213,67MK
MK000,7214,67MK
MK000,7215,67MK
MK000,7216,67MK
MK000,7221,67MK
MK000,7223,67MK
MK000,7224,67MK
MK000,7225,67MK
MK000,7240,67MK
MK000,7241,67MK
MK000,7242,67MK
MK000,7244,67MK
MK000,7245,67MK
MK000,7310,67MK
MK000,7313,67MK
MK000,7314,67MK
MK000,7315,67MK
MK000,7316,67MK
MK000,7317,67MK
MK000,7318,67MK
MK000,7319,67MK
MK000,7320,67MK
MK000,7500,67MK
MK000,7504,67MK
MK000,7505,67MK
MK000,7506,67MK
MK000,7507,67MK
MK000,7508,67MK
MK000,7509,67MK
MK000,7512,67MK
MK000,7514,67MK
MK000,7524,67MK
MK000,7525,67MK
MK000,7537,67MK
MK000,7550,67MK
