NUTS3,CODE,Cluster
NO082,1300,80NO
NO082,1301,80NO
NO082,1302,80NO
NO082,1303,80NO
NO082,1304,80NO
NO082,1305,80NO
NO082,1306,80NO
NO082,1307,80NO
NO082,1308,80NO
NO082,1309,80NO
NO082,1311,80NO
NO082,1312,80NO
NO082,1313,80NO
NO082,1314,80NO
NO082,1316,80NO
NO082,1317,80NO
NO082,1318,80NO
NO082,1319,80NO
NO082,1321,80NO
NO082,1322,80NO
NO082,1323,80NO
NO082,1324,80NO
NO082,1325,80NO
NO082,1326,80NO
NO082,1327,80NO
NO082,1328,80NO
NO082,1329,80NO
NO082,1330,80NO
NO082,1331,80NO
NO082,1332,80NO
NO082,1333,80NO
NO082,1334,80NO
NO082,1335,80NO
NO082,1336,80NO
NO082,1337,80NO
NO082,1338,80NO
NO082,1339,80NO
NO082,1340,80NO
NO082,1341,80NO
NO082,1342,80NO
NO082,1344,80NO
NO082,1346,80NO
NO082,1348,80NO
NO082,1349,80NO
NO082,1350,80NO
NO082,1351,80NO
NO082,1352,80NO
NO082,1353,80NO
NO082,1354,80NO
NO082,1356,80NO
NO082,1357,80NO
NO082,1358,80NO
NO082,1359,80NO
NO082,1360,80NO
NO082,1361,80NO
NO082,1362,80NO
NO082,1363,80NO
NO082,1364,80NO
NO082,1365,80NO
NO082,1366,80NO
NO082,1367,80NO
NO082,1368,80NO
NO082,1369,80NO
NO082,1371,80NO
NO082,1372,80NO
NO082,1373,80NO
NO082,1375,80NO
NO082,1376,80NO
NO082,1377,80NO
NO082,1378,80NO
NO082,1379,80NO
NO082,1380,80NO
NO082,1381,80NO
NO082,1383,80NO
NO082,1384,80NO
NO082,1385,80NO
NO082,1386,80NO
NO082,1387,80NO
NO082,1388,80NO
NO082,1389,80NO
NO082,1390,80NO
NO082,1391,80NO
NO082,1392,80NO
NO082,1393,80NO
NO082,1394,80NO
NO082,1395,80NO
NO082,1396,80NO
NO082,1397,80NO
NO082,1399,80NO
NO082,1400,80NO
NO082,1401,80NO
NO082,1402,80NO
NO082,1403,80NO
NO082,1404,80NO
NO082,1405,80NO
NO082,1406,80NO
NO082,1407,80NO
NO082,1408,80NO
NO082,1409,80NO
NO082,1410,80NO
NO082,1411,80NO
NO082,1412,80NO
NO082,1413,80NO
NO082,1414,80NO
NO082,1415,80NO
NO082,1416,80NO
NO082,1417,80NO
NO082,1418,80NO
NO082,1419,80NO
NO082,1420,80NO
NO082,1421,80NO
NO082,1422,80NO
NO082,1423,80NO
NO082,1424,80NO
NO082,1425,80NO
NO082,1429,80NO
NO082,1430,80NO
NO082,1431,80NO
NO082,1432,80NO
NO082,1433,80NO
NO082,1434,80NO
NO082,1435,80NO
NO082,1440,80NO
NO082,1441,80NO
NO082,1442,80NO
NO082,1443,80NO
NO082,1444,80NO
NO082,1445,80NO
NO082,1446,80NO
NO082,1447,80NO
NO082,1448,80NO
NO082,1449,80NO
NO082,1450,80NO
NO082,1451,80NO
NO082,1452,80NO
NO082,1453,80NO
NO082,1454,80NO
NO082,1455,80NO
NO082,1456,80NO
NO082,1457,80NO
NO082,1458,80NO
NO082,1459,80NO
NO082,1461,80NO
NO082,1462,80NO
NO082,1463,80NO
NO082,1464,80NO
NO082,1465,80NO
NO082,1466,80NO
NO082,1467,80NO
