NUTS3,CODE,Cluster
RO315,927250,61RO
RO315,927246,61RO
RO315,927245,61RO
RO315,927243,61RO
RO315,927242,61RO
RO315,927241,61RO
RO315,927240,61RO
RO315,927236,61RO
RO315,927235,61RO
RO315,927232,61RO
RO315,927231,61RO
RO315,927230,61RO
RO315,927226,61RO
RO315,927224,61RO
RO315,927223,61RO
RO315,927222,61RO
RO315,927221,61RO
RO315,927220,61RO
RO315,927217,61RO
RO315,927216,61RO
RO315,927215,61RO
RO315,927211,61RO
RO315,927210,61RO
RO315,927208,61RO
RO315,927207,61RO
RO315,927206,61RO
RO315,927205,61RO
RO315,927201,61RO
RO315,927200,61RO
RO315,927198,61RO
RO315,927197,61RO
RO315,927196,61RO
RO315,927195,61RO
RO315,927194,61RO
RO315,927193,61RO
RO315,927192,61RO
RO315,927191,61RO
RO315,927190,61RO
RO315,927185,61RO
RO315,927183,61RO
RO315,927182,61RO
RO315,927181,61RO
RO315,927180,61RO
RO315,927176,61RO
RO315,927175,61RO
RO315,927172,61RO
RO315,927171,61RO
RO315,927170,61RO
RO315,927168,61RO
RO315,927167,61RO
RO315,927166,61RO
RO315,927165,61RO
RO315,927160,61RO
RO315,927156,61RO
RO315,927155,61RO
RO315,927151,61RO
RO315,927150,61RO
RO315,927147,61RO
RO315,927146,61RO
RO315,927145,61RO
RO315,927140,61RO
RO221,927135,61RO
RO315,927130,61RO
RO315,927125,61RO
RO315,927120,61RO
RO315,927118,61RO
RO315,927117,61RO
RO315,927116,61RO
RO322,927115,60RO
RO315,927111,61RO
RO315,927110,61RO
RO315,927107,61RO
RO315,927106,61RO
RO315,927105,61RO
RO315,927104,61RO
RO315,927103,61RO
RO315,927102,61RO
RO315,927101,61RO
RO315,927100,61RO
RO315,927097,61RO
RO315,927096,61RO
RO315,927095,61RO
RO315,927092,61RO
RO315,927091,61RO
RO315,927090,61RO
RO315,927086,61RO
RO315,927085,61RO
RO315,927083,61RO
RO315,927082,61RO
RO315,927081,61RO
RO315,927080,61RO
RO315,927078,61RO
RO315,927077,61RO
RO315,927076,61RO
RO315,927075,61RO
RO315,927071,61RO
RO315,927070,61RO
RO315,927065,61RO
RO315,927061,61RO
RO315,927060,61RO
RO315,927058,61RO
RO315,927057,61RO
RO315,927056,61RO
RO315,927055,61RO
RO315,927051,61RO
RO315,927050,61RO
RO315,927046,61RO
RO315,927045,61RO
RO315,927044,61RO
RO315,927043,61RO
RO315,927042,61RO
RO315,927041,61RO
RO315,927040,61RO
RO315,927037,61RO
RO315,927036,61RO
RO315,927035,61RO
RO315,927033,61RO
RO315,927032,61RO
RO315,927031,61RO
RO315,927030,61RO
RO315,927026,61RO
RO315,927025,61RO
RO315,927021,61RO
RO315,927020,61RO
RO315,927015,61RO
RO315,927013,61RO
RO315,927012,61RO
RO315,927011,61RO
RO315,927010,61RO
RO315,927006,61RO
RO315,927005,61RO
RO315,925300,61RO
RO315,925200,61RO
RO315,925150,61RO
RO315,925102,61RO
RO315,925101,61RO
RO315,925100,61RO
RO315,920096,61RO
RO315,920095,61RO
RO315,920094,61RO
RO315,920093,61RO
RO315,920092,61RO
RO315,920087,61RO
RO315,920086,61RO
RO315,920085,61RO
RO315,920084,61RO
RO315,920083,61RO
RO315,920082,61RO
RO315,920081,61RO
RO315,920080,61RO
RO315,920075,61RO
RO315,920074,61RO
RO315,920073,61RO
RO315,920072,61RO
RO315,920066,61RO
RO315,920065,61RO
RO315,920064,61RO
RO315,920063,61RO
RO315,920058,61RO
RO315,920057,61RO
RO315,920056,61RO
RO315,920055,61RO
RO315,920051,61RO
RO315,920050,61RO
RO315,920049,61RO
RO315,920044,61RO
RO315,920043,61RO
RO315,920042,61RO
RO315,920041,61RO
RO315,920036,61RO
RO315,920035,61RO
RO315,920034,61RO
RO315,920033,61RO
RO315,920032,61RO
RO315,920031,61RO
RO315,920030,61RO
RO315,920025,61RO
RO315,920024,61RO
RO315,920023,61RO
RO315,920022,61RO
RO315,920018,61RO
RO315,920017,61RO
RO315,920016,61RO
RO315,920015,61RO
RO315,920014,61RO
RO315,920013,61RO
RO315,920012,61RO
RO315,920007,61RO
RO315,920006,61RO
RO315,920005,61RO
RO315,920004,61RO
RO315,920003,61RO
RO315,920002,61RO
RO315,920001,61RO
RO312,917296,61RO
RO312,917295,61RO
RO312,917291,61RO
RO312,917290,61RO
RO312,917285,61RO
RO312,917282,61RO
RO312,917281,61RO
RO312,917280,61RO
RO312,917279,61RO
RO312,917278,61RO
RO312,917277,61RO
RO312,917276,61RO
RO312,917275,61RO
RO312,917271,61RO
RO312,917270,61RO
RO312,917268,61RO
RO312,917267,61RO
RO312,917266,61RO
RO312,917265,61RO
RO312,917260,61RO
RO312,917257,61RO
RO312,917256,61RO
RO312,917254,61RO
RO312,917253,61RO
RO312,917252,61RO
RO312,917251,61RO
RO312,917250,61RO
RO312,917245,61RO
RO312,917240,61RO
RO312,917236,61RO
RO312,917235,61RO
RO312,917232,61RO
RO312,917231,61RO
RO312,917230,61RO
RO312,917226,61RO
RO312,917225,61RO
RO312,917222,61RO
RO312,917221,61RO
RO312,917219,61RO
RO312,917218,61RO
RO312,917217,61RO
RO312,917216,61RO
RO312,917215,61RO
RO312,917210,61RO
RO312,917206,61RO
RO312,917205,61RO
RO312,917203,61RO
RO312,917202,61RO
RO312,917201,61RO
RO312,917200,61RO
RO312,917197,61RO
RO312,917196,61RO
RO312,917195,61RO
RO312,917192,61RO
RO312,917191,61RO
RO312,917190,61RO
RO312,917185,61RO
RO312,917183,61RO
RO312,917182,61RO
RO312,917181,61RO
RO312,917180,61RO
RO312,917177,61RO
RO312,917176,61RO
RO312,917175,61RO
RO312,917172,61RO
RO312,917171,61RO
RO312,917170,61RO
RO312,917165,61RO
RO312,917163,61RO
RO312,917162,61RO
RO312,917161,61RO
RO312,917160,61RO
RO312,917156,61RO
RO312,917155,61RO
RO312,917151,61RO
RO312,917150,61RO
RO312,917147,61RO
RO312,917146,61RO
RO312,917145,61RO
RO312,917142,61RO
RO312,917141,61RO
RO312,917140,61RO
RO312,917139,61RO
RO312,917138,61RO
RO312,917137,61RO
RO312,917136,61RO
RO312,917134,61RO
RO312,917133,61RO
RO312,917132,61RO
RO312,917131,61RO
RO312,917130,61RO
RO312,917126,61RO
RO312,917124,61RO
RO312,917123,61RO
RO312,917122,61RO
RO312,917121,61RO
RO312,917120,61RO
RO312,917118,61RO
RO312,917117,61RO
RO312,917116,61RO
RO312,917115,61RO
RO312,917110,61RO
RO312,917106,61RO
RO312,917104,61RO
RO312,917103,61RO
RO312,917102,61RO
RO312,917101,61RO
RO312,917100,61RO
RO312,917096,61RO
RO312,917094,61RO
RO312,917093,61RO
RO312,917092,61RO
RO312,917091,61RO
RO312,917090,61RO
RO312,917087,61RO
RO312,917086,61RO
RO312,917085,61RO
RO312,917083,61RO
RO312,917082,61RO
RO312,917081,61RO
RO312,917080,61RO
RO312,917067,61RO
RO312,917066,61RO
RO312,917065,61RO
RO312,917061,61RO
RO312,917059,61RO
RO312,917058,61RO
RO312,917057,61RO
RO312,917056,61RO
RO312,917055,61RO
RO312,917053,61RO
RO312,917052,61RO
RO312,917051,61RO
RO312,917050,61RO
RO312,917047,61RO
RO312,917046,61RO
RO312,917045,61RO
RO312,917041,61RO
RO312,917040,61RO
RO312,917035,61RO
RO312,917030,61RO
RO312,917025,61RO
RO312,917020,61RO
RO312,917015,61RO
RO312,917014,61RO
RO312,917013,61RO
RO312,917012,61RO
RO312,917011,61RO
RO312,917010,61RO
RO312,917007,61RO
RO312,917006,61RO
RO312,917005,61RO
RO312,915400,61RO
RO312,915303,61RO
RO312,915302,61RO
RO312,915301,61RO
RO312,915300,61RO
RO312,915202,61RO
RO312,915201,61RO
RO312,915200,61RO
RO312,915104,61RO
RO312,915103,61RO
RO312,915102,61RO
RO312,915101,61RO
RO312,915100,61RO
RO312,910165,61RO
RO312,910164,61RO
RO312,910163,61RO
RO312,910162,61RO
RO312,910161,61RO
RO312,910160,61RO
RO312,910158,61RO
