NUTS3,CODE,Cluster
RS110,11000,65RS
RS110,11031,65RS
RS110,11080,65RS
RS110,11130,65RS
RS110,11194,65RS
RS110,11211,65RS
RS110,11212,65RS
RS110,11213,65RS
RS110,11215,65RS
RS110,11223,65RS
RS110,11224,65RS
RS110,11225,65RS
RS110,11226,65RS
RS110,11232,65RS
RS110,11233,65RS
RS110,11235,65RS
RS110,11251,65RS
RS110,11253,65RS
RS110,11260,65RS
RS110,11261,65RS
RS110,11262,65RS
RS110,11271,65RS
RS110,11272,65RS
RS110,11275,65RS
RS110,11276,65RS
RS110,11277,65RS
RS110,11279,65RS
RS110,11280,65RS
RS110,11283,65RS
RS110,11306,65RS
RS110,11307,65RS
RS110,11308,65RS
RS110,11309,65RS
RS110,11351,65RS
RS110,11400,65RS
RS110,11405,65RS
RS110,11406,65RS
RS110,11408,65RS
RS110,11409,65RS
RS110,11412,65RS
RS110,11413,65RS
RS110,11414,65RS
RS110,11415,65RS
RS110,11426,65RS
RS110,11427,65RS
RS110,11430,65RS
RS110,11433,65RS
RS110,11450,65RS
RS110,11453,65RS
RS110,11454,65RS
RS110,11460,65RS
RS110,11461,65RS
RS110,11462,65RS
RS110,11467,65RS
RS110,11500,65RS
RS110,11504,65RS
RS110,11505,65RS
RS110,11506,65RS
RS110,11507,65RS
RS110,11508,65RS
RS110,11509,65RS
RS110,11550,65RS
RS110,11560,65RS
RS110,11561,65RS
RS110,11562,65RS
RS110,11563,65RS
RS110,11564,65RS
RS110,11565,65RS
RS110,11566,65RS
RS110,11567,65RS
RS121,25101,65RS
RS121,25210,65RS
RS121,25211,65RS
RS121,25212,65RS
RS121,25220,65RS
RS121,25221,65RS
RS121,25222,65RS
RS121,25223,65RS
RS121,25224,65RS
RS121,25225,65RS
RS121,25230,65RS
RS121,25232,65RS
RS121,25233,65RS
RS121,25234,65RS
RS121,25240,65RS
RS121,25242,65RS
RS121,25243,65RS
RS121,25244,65RS
RS121,25245,65RS
RS121,25250,65RS
RS121,25252,65RS
RS121,25253,65RS
RS121,25254,65RS
RS121,25255,65RS
RS121,25260,65RS
RS121,25262,65RS
RS121,25263,65RS
RS121,25264,65RS
RS121,25265,65RS
RS121,25270,65RS
RS121,25272,65RS
RS121,25274,65RS
RS121,25275,65RS
RS121,25280,65RS
RS121,25282,65RS
RS121,25283,65RS
RS121,25284,65RS
RS122,26101,65RS
RS122,26201,65RS
RS122,26202,65RS
RS122,26203,65RS
RS122,26204,65RS
RS122,26205,65RS
RS122,26206,65RS
RS122,26207,65RS
RS122,26210,65RS
RS122,26212,65RS
RS122,26213,65RS
RS122,26214,65RS
RS122,26215,65RS
RS122,26216,65RS
RS122,26220,65RS
RS122,26222,65RS
RS122,26223,65RS
RS122,26224,65RS
RS122,26225,65RS
RS122,26226,65RS
RS122,26227,65RS
RS122,26228,65RS
RS122,26229,65RS
RS122,26230,65RS
RS122,26232,65RS
RS122,26233,65RS
RS122,26234,65RS
RS122,26300,65RS
RS122,26310,65RS
RS122,26314,65RS
RS122,26315,65RS
RS122,26316,65RS
RS122,26320,65RS
RS122,26322,65RS
RS122,26323,65RS
RS122,26324,65RS
RS122,26327,65RS
RS122,26328,65RS
RS122,26329,65RS
RS122,26330,65RS
RS122,26331,65RS
RS122,26332,65RS
RS122,26333,65RS
RS122,26334,65RS
RS122,26335,65RS
RS122,26336,65RS
RS122,26337,65RS
RS122,26338,65RS
RS122,26340,65RS
RS122,26343,65RS
RS122,26344,65RS
RS122,26345,65RS
RS122,26346,65RS
RS122,26347,65RS
RS122,26348,65RS
RS122,26349,65RS
RS122,26350,65RS
RS122,26351,65RS
RS122,26352,65RS
RS122,26353,65RS
RS122,26354,65RS
RS122,26360,65RS
RS122,26361,65RS
RS122,26362,65RS
RS122,26363,65RS
RS122,26364,65RS
RS122,26365,65RS
RS122,26366,65RS
RS122,26367,65RS
RS122,26368,65RS
RS122,26370,65RS
RS122,26371,65RS
RS122,26373,65RS
RS123,21102,65RS
RS123,21131,65RS
RS123,21201,65RS
RS123,21203,65RS
RS123,21205,65RS
RS123,21207,65RS
RS123,21208,65RS
RS123,21209,65RS
RS123,21211,65RS
RS123,21212,65RS
RS123,21213,65RS
RS123,21214,65RS
RS123,21215,65RS
RS123,21216,65RS
RS123,21217,65RS
RS123,21220,65RS
RS123,21225,65RS
RS123,21226,65RS
RS123,21227,65RS
RS123,21230,65RS
RS123,21233,65RS
RS123,21234,65RS
RS123,21235,65RS
RS123,21236,65RS
RS123,21237,65RS
RS123,21238,65RS
RS123,21239,65RS
RS123,21240,65RS
RS123,21241,65RS
RS123,21242,65RS
RS123,21243,65RS
RS123,21244,65RS
RS123,21245,65RS
RS123,21246,65RS
RS123,21247,65RS
RS123,21248,65RS
RS123,21299,65RS
RS123,21300,65RS
RS123,21311,65RS
RS123,21312,65RS
RS123,21313,65RS
RS123,21314,65RS
RS123,21315,65RS
RS123,21400,65RS
RS123,21410,65RS
RS123,21411,65RS
RS123,21412,65RS
RS123,21413,65RS
RS123,21420,65RS
RS123,21421,65RS
RS123,21422,65RS
RS123,21423,65RS
RS123,21424,65RS
RS123,21425,65RS
RS123,21426,65RS
RS123,21427,65RS
RS123,21428,65RS
RS123,21429,65RS
RS123,21431,65RS
RS123,21432,65RS
RS123,21433,65RS
RS123,21434,65RS
RS123,21460,65RS
RS123,21465,65RS
RS123,21466,65RS
RS123,21467,65RS
RS123,21468,65RS
RS123,21469,65RS
RS123,21470,65RS
RS123,21471,65RS
RS123,21472,65RS
RS123,21473,65RS
RS123,21480,65RS
RS125,24000,65RS
RS125,24104,65RS
RS125,24206,65RS
RS125,24210,65RS
RS125,24211,65RS
RS125,24213,65RS
RS125,24214,65RS
RS125,24215,65RS
RS125,24217,65RS
RS125,24220,65RS
RS125,24222,65RS
RS125,24223,65RS
RS125,24224,65RS
RS125,24300,65RS
RS125,24308,65RS
RS125,24309,65RS
RS125,24311,65RS
RS125,24312,65RS
RS125,24313,65RS
RS125,24321,65RS
RS125,24322,65RS
RS125,24323,65RS
RS125,24330,65RS
RS125,24331,65RS
RS125,24340,65RS
RS125,24341,65RS
RS125,24342,65RS
RS125,24343,65RS
RS125,24344,65RS
RS125,24351,65RS
RS125,24413,65RS
RS125,24415,65RS
RS125,24418,65RS
RS126,23101,65RS
RS126,23202,65RS
RS126,23203,65RS
RS126,23204,65RS
RS126,23205,65RS
RS126,23206,65RS
RS126,23207,65RS
RS126,23208,65RS
RS126,23209,65RS
RS126,23210,65RS
RS126,23211,65RS
RS126,23212,65RS
RS126,23214,65RS
RS126,23215,65RS
RS126,23216,65RS
RS126,23217,65RS
RS126,23218,65RS
RS126,23219,65RS
RS126,23220,65RS
RS126,23221,65RS
RS126,23222,65RS
RS126,23224,65RS
RS126,23230,65RS
RS126,23231,65RS
RS126,23232,65RS
RS126,23233,65RS
RS126,23234,65RS
RS126,23235,65RS
RS126,23236,65RS
RS126,23237,65RS
RS126,23240,65RS
RS126,23241,65RS
RS126,23242,65RS
RS126,23243,65RS
RS126,23244,65RS
RS126,23245,65RS
RS126,23250,65RS
RS126,23251,65RS
RS126,23252,65RS
RS126,23253,65RS
RS126,23254,65RS
RS126,23255,65RS
RS126,23260,65RS
RS126,23261,65RS
RS126,23262,65RS
RS126,23263,65RS
RS126,23264,65RS
RS126,23265,65RS
RS126,23266,65RS
RS126,23270,65RS
RS126,23271,65RS
RS126,23272,65RS
RS126,23273,65RS
RS126,23274,65RS
RS127,22000,65RS
RS127,22201,65RS
RS127,22202,65RS
RS127,22203,65RS
RS127,22204,65RS
RS127,22205,65RS
RS127,22207,65RS
RS127,22208,65RS
RS127,22211,65RS
RS127,22212,65RS
RS127,22213,65RS
RS127,22217,65RS
RS127,22221,65RS
RS127,22222,65RS
RS127,22223,65RS
RS127,22224,65RS
RS127,22225,65RS
RS127,22230,65RS
RS127,22231,65RS
RS127,22232,65RS
RS127,22239,65RS
RS127,22241,65RS
RS127,22242,65RS
RS127,22243,65RS
RS127,22244,65RS
RS127,22245,65RS
RS127,22246,65RS
RS127,22247,65RS
RS127,22248,65RS
RS127,22250,65RS
RS127,22251,65RS
RS127,22253,65RS
RS127,22254,65RS
RS127,22255,65RS
RS127,22256,65RS
RS127,22257,65RS
RS127,22258,65RS
RS127,22300,65RS
RS127,22304,65RS
RS127,22305,65RS
RS127,22306,65RS
RS127,22307,65RS
RS127,22308,65RS
RS127,22310,65RS
RS127,22313,65RS
RS127,22314,65RS
RS127,22320,65RS
RS127,22321,65RS
RS127,22322,65RS
RS127,22323,65RS
RS127,22324,65RS
RS127,22325,65RS
RS127,22326,65RS
RS127,22327,65RS
RS127,22328,65RS
RS127,22329,65RS
RS127,22330,65RS
RS127,22400,65RS
RS127,22404,65RS
RS127,22405,65RS
RS127,22406,65RS
RS127,22408,65RS
RS127,22410,65RS
RS127,22411,65RS
RS127,22412,65RS
RS127,22413,65RS
RS127,22414,65RS
RS127,22416,65RS
RS127,22417,65RS
RS127,22418,65RS
RS127,22419,65RS
RS127,22420,65RS
RS127,22421,65RS
RS127,22422,65RS
RS127,22423,65RS
RS127,22424,65RS
RS127,22425,65RS
RS127,22426,65RS
RS127,22427,65RS
RS127,22428,65RS
RS127,22429,65RS
RS127,22440,65RS
RS127,22441,65RS
RS127,22442,65RS
RS127,22443,65RS
RS211,31000,65RS
RS211,31203,65RS
RS211,31204,65RS
RS211,31205,65RS
RS211,31206,65RS
RS211,31207,65RS
RS211,31208,65RS
RS211,31209,65RS
RS211,31210,65RS
RS211,31213,65RS
RS211,31214,65RS
RS211,31215,65RS
RS211,31230,65RS
RS211,31233,65RS
RS211,31234,65RS
RS211,31236,65RS
RS211,31237,65RS
RS211,31241,65RS
RS211,31242,65RS
RS211,31243,65RS
RS211,31244,65RS
RS211,31250,65RS
RS211,31251,65RS
RS211,31253,65RS
RS211,31254,65RS
RS211,31255,65RS
RS211,31256,65RS
RS211,31258,65RS
RS211,31260,65RS
RS211,31262,65RS
RS211,31263,65RS
RS211,31265,65RS
RS211,31300,65RS
RS211,31305,65RS
RS211,31306,65RS
RS211,31307,65RS
RS211,31310,65RS
RS211,31311,65RS
RS211,31312,65RS
RS211,31313,65RS
RS211,31314,65RS
RS211,31315,65RS
RS211,31317,65RS
RS211,31318,65RS
RS211,31319,65RS
RS211,31320,65RS
RS211,31322,65RS
RS211,31325,65RS
RS211,36310,65RS
