NUTS3,CODE,Cluster
SE110,10005,88SE
SE110,10012,88SE
SE110,10026,88SE
SE110,10028,88SE
SE110,10029,88SE
SE110,10031,88SE
SE110,10040,88SE
SE110,10041,88SE
SE110,10044,88SE
SE110,10052,88SE
SE110,10054,88SE
SE110,10055,88SE
SE110,10061,88SE
SE110,10064,88SE
SE110,10073,88SE
SE110,10074,88SE
SE110,10101,88SE
SE110,10110,88SE
SE110,10120,88SE
SE110,10121,88SE
SE110,10122,88SE
SE110,10123,88SE
SE110,10124,88SE
SE110,10125,88SE
SE110,10126,88SE
SE110,10127,88SE
SE110,10128,88SE
SE110,10129,88SE
SE110,10130,88SE
SE110,10131,88SE
SE110,10132,88SE
SE110,10133,88SE
SE110,10134,88SE
SE110,10135,88SE
SE110,10136,88SE
SE110,10137,88SE
SE110,10138,88SE
SE110,10139,88SE
SE110,10152,88SE
SE110,10153,88SE
SE110,10154,88SE
SE110,10155,88SE
SE110,10156,88SE
SE110,10158,88SE
SE110,10159,88SE
SE110,10204,88SE
SE110,10214,88SE
SE110,10215,88SE
SE110,10216,88SE
SE110,10218,88SE
SE110,10221,88SE
SE110,10222,88SE
SE110,10223,88SE
SE110,10224,88SE
SE110,10225,88SE
SE110,10226,88SE
SE110,10227,88SE
SE110,10228,88SE
SE110,10229,88SE
SE110,10231,88SE
SE110,10232,88SE
SE110,10233,88SE
SE110,10234,88SE
SE110,10235,88SE
SE110,10239,88SE
SE110,10240,88SE
SE110,10241,88SE
SE110,10242,88SE
SE110,10243,88SE
SE110,10244,88SE
SE110,10245,88SE
SE110,10246,88SE
SE110,10247,88SE
SE110,10248,88SE
SE110,10249,88SE
SE110,10251,88SE
SE110,10252,88SE
SE110,10253,88SE
SE110,10254,88SE
SE110,10261,88SE
SE110,10262,88SE
SE110,10263,88SE
SE110,10264,88SE
SE110,10265,88SE
SE110,10266,88SE
SE110,10267,88SE
SE110,10268,88SE
SE110,10269,88SE
SE110,10270,88SE
SE110,10271,88SE
SE110,10272,88SE
SE110,10273,88SE
SE110,10274,88SE
SE110,10301,88SE
SE110,10302,88SE
SE110,10303,88SE
SE110,10304,88SE
SE110,10305,88SE
SE110,10306,88SE
SE110,10307,88SE
SE110,10310,88SE
SE110,10311,88SE
SE110,10312,88SE
SE110,10313,88SE
SE110,10314,88SE
SE110,10315,88SE
SE110,10316,88SE
SE110,10317,88SE
SE110,10318,88SE
SE110,10320,88SE
SE110,10321,88SE
SE110,10322,88SE
SE110,10323,88SE
SE110,10324,88SE
SE110,10325,88SE
SE110,10326,88SE
SE110,10327,88SE
SE110,10329,88SE
SE110,10332,88SE
SE110,10333,88SE
SE110,10334,88SE
SE110,10335,88SE
SE110,10336,88SE
SE110,10337,88SE
SE110,10338,88SE
SE110,10339,88SE
SE110,10350,88SE
SE110,10351,88SE
SE110,10352,88SE
SE110,10354,88SE
SE110,10355,88SE
SE110,10360,88SE
SE110,10361,88SE
SE110,10362,88SE
SE110,10363,88SE
SE110,10364,88SE
SE110,10365,88SE
SE110,10366,88SE
SE110,10367,88SE
SE110,10368,88SE
SE110,10369,88SE
SE110,10370,88SE
SE110,10371,88SE
SE110,10372,88SE
SE110,10373,88SE
SE110,10374,88SE
SE110,10375,88SE
SE110,10376,88SE
SE110,10377,88SE
SE110,10378,88SE
SE110,10379,88SE
SE110,10380,88SE
SE110,10382,88SE
SE110,10383,88SE
SE110,10384,88SE
SE110,10385,88SE
SE110,10386,88SE
SE110,10387,88SE
SE110,10388,88SE
SE110,10389,88SE
SE110,10390,88SE
SE110,10391,88SE
SE110,10392,88SE
SE110,10393,88SE
SE110,10394,88SE
SE110,10395,88SE
SE110,10396,88SE
SE110,10397,88SE
SE110,10398,88SE
SE110,10399,88SE
SE110,10405,88SE
SE110,10406,88SE
SE110,10420,88SE
SE110,10422,88SE
SE110,10425,88SE
SE110,10430,88SE
SE110,10431,88SE
