NUTS3,CODE,Cluster
SI031,9000,57SI
SI031,9201,57SI
SI031,9202,57SI
SI031,9203,57SI
SI031,9204,57SI
SI031,9205,57SI
SI031,9206,57SI
SI031,9207,57SI
SI031,9208,57SI
SI031,9220,57SI
SI031,9221,57SI
SI031,9222,57SI
SI031,9223,57SI
SI031,9224,57SI
SI031,9225,57SI
SI031,9226,57SI
SI031,9227,57SI
SI031,9231,57SI
SI031,9232,57SI
SI031,9233,57SI
SI031,9240,57SI
SI031,9241,57SI
SI031,9242,57SI
SI031,9243,57SI
SI031,9244,57SI
SI031,9245,57SI
SI031,9246,57SI
SI031,9250,57SI
SI031,9251,57SI
SI031,9252,57SI
SI031,9253,57SI
SI031,9261,57SI
SI031,9262,57SI
SI031,9263,57SI
SI031,9264,57SI
SI031,9265,57SI
SI032,2000,57SI
SI032,2201,57SI
SI032,2204,57SI
SI032,2205,57SI
SI032,2206,57SI
SI032,2208,57SI
SI032,2211,57SI
SI032,2212,57SI
SI032,2213,57SI
SI032,2214,57SI
SI032,2215,57SI
SI032,2221,57SI
SI032,2222,57SI
SI032,2223,57SI
SI032,2229,57SI
SI032,2230,57SI
SI032,2231,57SI
SI032,2232,57SI
SI032,2233,57SI
SI032,2234,57SI
SI032,2235,57SI
SI032,2236,57SI
SI032,2241,57SI
SI032,2242,57SI
SI032,2250,57SI
SI032,2252,57SI
SI032,2253,57SI
SI032,2254,57SI
SI032,2255,57SI
SI032,2256,57SI
SI032,2257,57SI
SI032,2258,57SI
SI032,2259,57SI
SI032,2270,57SI
SI032,2272,57SI
SI032,2273,57SI
SI032,2274,57SI
SI032,2275,57SI
SI032,2276,57SI
SI032,2277,57SI
SI032,2281,57SI
SI032,2282,57SI
SI032,2283,57SI
SI032,2284,57SI
SI032,2285,57SI
SI032,2286,57SI
SI032,2287,57SI
SI032,2288,57SI
SI032,2289,57SI
SI032,2310,57SI
SI032,2311,57SI
SI032,2312,57SI
SI032,2313,57SI
SI032,2314,57SI
SI032,2315,57SI
SI032,2316,57SI
SI032,2317,57SI
SI032,2318,57SI
SI032,2319,57SI
SI032,2321,57SI
SI032,2322,57SI
SI032,2323,57SI
SI032,2324,57SI
SI032,2325,57SI
SI032,2326,57SI
SI032,2327,57SI
SI032,2331,57SI
SI032,2341,57SI
SI032,2342,57SI
SI032,2343,57SI
SI032,2344,57SI
SI032,2345,57SI
SI032,2351,57SI
SI032,2352,57SI
SI032,2353,57SI
SI032,2354,57SI
SI033,2360,57SI
SI033,2361,57SI
SI033,2362,57SI
SI033,2363,57SI
SI033,2364,57SI
SI033,2365,57SI
SI033,2366,57SI
SI033,2367,57SI
SI033,2370,57SI
SI033,2371,57SI
SI033,2372,57SI
SI033,2373,57SI
SI033,2380,57SI
SI033,2381,57SI
SI033,2382,57SI
SI033,2383,57SI
SI033,2390,57SI
SI033,2391,57SI
SI033,2392,57SI
SI033,2393,57SI
SI033,2394,57SI
SI034,1432,57SI
SI034,3000,57SI
SI034,3201,57SI
SI034,3202,57SI
SI034,3203,57SI
SI034,3204,57SI
SI034,3205,57SI
SI034,3206,57SI
SI034,3210,57SI
SI034,3211,57SI
SI034,3212,57SI
SI034,3213,57SI
SI034,3214,57SI
SI034,3215,57SI
SI034,3220,57SI
SI034,3221,57SI
SI034,3222,57SI
SI034,3223,57SI
SI034,3224,57SI
SI034,3225,57SI
SI034,3230,57SI
SI034,3231,57SI
SI034,3232,57SI
SI034,3233,57SI
SI034,3240,57SI
SI034,3241,57SI
SI034,3250,57SI
SI034,3252,57SI
SI034,3253,57SI
SI034,3254,57SI
SI034,3255,57SI
SI034,3257,57SI
SI034,3260,57SI
SI034,3261,57SI
SI034,3262,57SI
SI034,3263,57SI
SI034,3264,57SI
SI034,3270,57SI
SI034,3271,57SI
SI034,3272,57SI
SI034,3273,57SI
SI034,3301,57SI
SI034,3302,57SI
SI034,3303,57SI
SI034,3304,57SI
SI034,3305,57SI
SI034,3310,57SI
SI034,3311,57SI
SI034,3312,57SI
SI034,3313,57SI
SI034,3314,57SI
SI034,3320,57SI
SI034,3325,57SI
SI034,3326,57SI
SI034,3327,57SI
SI034,3330,57SI
SI034,3331,57SI
SI034,3332,57SI
SI034,3333,57SI
SI034,3334,57SI
SI034,3335,57SI
SI034,3341,57SI
SI034,3342,57SI
SI036,1433,57SI
SI036,1434,57SI
SI036,3256,57SI
SI036,8250,57SI
SI036,8253,57SI
SI036,8254,57SI
SI036,8255,57SI
SI036,8256,57SI
SI036,8257,57SI
SI036,8258,57SI
SI036,8259,57SI
SI036,8261,57SI
SI036,8262,57SI
