NUTS3,CODE,Cluster
SK010,81101,46SK
SK010,81102,46SK
SK010,81103,46SK
SK010,81104,46SK
SK010,81105,46SK
SK010,81106,46SK
SK010,81107,46SK
SK010,81108,46SK
SK010,81109,46SK
SK010,82101,46SK
SK010,82102,46SK
SK010,82103,46SK
SK010,82104,46SK
SK010,82105,46SK
SK010,82106,46SK
SK010,82107,46SK
SK010,82108,46SK
SK010,82109,46SK
SK010,83000,46SK
SK010,83005,46SK
SK010,83101,46SK
SK010,83102,46SK
SK010,83103,46SK
SK010,83104,46SK
SK010,83106,46SK
SK010,83107,46SK
SK010,83151,46SK
SK010,83152,46SK
SK010,83153,46SK
SK010,83154,46SK
SK010,84002,46SK
SK010,84008,46SK
SK010,84101,46SK
SK010,84102,46SK
SK010,84103,46SK
SK010,84104,46SK
SK010,84105,46SK
SK010,84106,46SK
SK010,84107,46SK
SK010,84108,46SK
SK010,84110,46SK
SK010,85101,46SK
SK010,85102,46SK
SK010,85103,46SK
SK010,85104,46SK
SK010,85105,46SK
SK010,85106,46SK
SK010,85107,46SK
SK010,85110,46SK
SK010,90001,46SK
SK010,90021,46SK
SK010,90023,46SK
SK010,90024,46SK
SK010,90025,46SK
SK010,90026,46SK
SK010,90027,46SK
SK010,90028,46SK
SK010,90029,46SK
SK010,90031,46SK
SK010,90033,46SK
SK010,90041,46SK
SK010,90042,46SK
SK010,90043,46SK
SK010,90044,46SK
SK010,90045,46SK
SK010,90046,46SK
SK010,90050,46SK
SK010,90051,46SK
SK010,90052,46SK
SK010,90054,46SK
SK010,90055,46SK
SK010,90061,46SK
SK010,90062,46SK
SK010,90063,46SK
SK010,90064,46SK
SK010,90066,46SK
SK010,90067,46SK
SK010,90068,46SK
SK010,90081,46SK
SK010,90082,46SK
SK010,90083,46SK
SK010,90084,46SK
SK010,90085,46SK
SK010,90086,46SK
SK010,90088,46SK
SK010,90089,46SK
SK010,90090,46SK
SK010,90091,46SK
SK010,90101,46SK
SK010,90201,46SK
SK010,90203,46SK
SK010,90301,46SK
SK010,90621,46SK
SK010,90636,46SK
SK010,90637,46SK
SK010,90638,46SK
SK010,90872,46SK
SK010,90874,46SK
SK010,92526,46SK
SK021,90501,46SK
SK021,90602,46SK
SK021,90603,46SK
SK021,90604,46SK
SK021,90605,46SK
SK021,90607,46SK
SK021,90611,46SK
SK021,90612,46SK
SK021,90631,46SK
SK021,90632,46SK
SK021,90633,46SK
SK021,90634,46SK
